"","Year","Rainfall.6","Soil_Moisture.6","ET_Anomaly.6","ET.6","Temp.6","Rainfall.7","Soil_Moisture.7","ET_Anomaly.7","ET.7","Temp.7","Rainfall.8","Soil_Moisture.8","ET_Anomaly.8","ET.8","Temp.8","Rainfall.9","Soil_Moisture.9","ET_Anomaly.9","ET.9","Temp.9","Rainfall.10","Soil_Moisture.10","ET_Anomaly.10","ET.10","Temp.10","Rainfall.11","Soil_Moisture.11","ET_Anomaly.11","ET.11","Temp.11","Rainfall.12","Soil_Moisture.12","ET_Anomaly.12","ET.12","Temp.12","Rainfall.1","Soil_Moisture.1","ET_Anomaly.1","ET.1","Temp.1","Rainfall.2","Soil_Moisture.2","ET_Anomaly.2","ET.2","Temp.2","Rainfall.3","Soil_Moisture.3","ET_Anomaly.3","ET.3","Temp.3","Rainfall.4","Soil_Moisture.4","ET_Anomaly.4","ET.4","Temp.4","Rainfall.5","Soil_Moisture.5","ET_Anomaly.5","ET.5","Temp.5","Yield"
"2",2000,0.963260905829104,0.30097606358241,NA,NA,14.1773002857218,1.60035045556833,0.280091960231849,NA,NA,18.2851904703611,1.63779264196654,0.273197834664577,NA,NA,15.5245345960126,2.09245542524529,0.288640605034932,NA,NA,11.10244906148,2.89632526159885,0.309890698998769,NA,NA,2.97431265982761,2.83140601827706,0.354592182874039,NA,NA,-5.61096511210893,2.96945457754934,0.390435774634518,NA,NA,-13.011103242557,NA,0.389141118549935,NA,NA,NA,NA,0.391904257968872,NA,NA,-5.4539226184,NA,0.402281882524603,NA,NA,-3.04574137835139,NA,0.39547929503116,NA,NA,2.28634983711496,NA,0.350444365622312,NA,NA,8.34987319934691,1.7
"100",2001,1.25279408315044,0.314020440855202,NA,NA,13.3398308692772,1.17232385485498,0.287200939270448,NA,NA,17.7472742650594,1.58512974656651,0.274214242704999,NA,NA,18.3022521778249,2.09535763579858,0.277054755601242,NA,NA,12.6243530380098,2.37791843218692,0.323610494550283,NA,NA,1.34502448822982,2.99893148433745,0.368600586118708,NA,NA,-8.33764386205805,3.23778202278927,0.388339867215821,NA,NA,-14.2208279113518,4.25632633835901,0.398999993997153,NA,NA,-8.11464671273694,1.18867802104307,0.403962638254142,NA,NA,-10.1511772075968,1.52637954232125,0.415737354254917,NA,NA,-3.55649140121493,0.662918839736103,0.408526333022871,NA,NA,2.29582446731313,0.997613643507783,0.347835948536403,NA,NA,8.55339868605561,1.4
"268",2002,1.23675602162701,0.289228005271458,NA,NA,17.1966985546661,1.26253012761686,0.275573568508341,NA,NA,18.341988166764,1.02183711477757,0.256553685634333,NA,NA,16.9495589773494,2.01318468037348,0.279193483901054,NA,NA,11.2238912638838,1.29376000288291,0.301354989683462,NA,NA,4.31028741567113,3.41617286135101,0.332843758373163,NA,NA,-2.68949647888786,3.82240667998152,0.388443144042339,NA,NA,-8.93849286699615,2.69813005418051,0.411277999785579,NA,NA,-12.7973212466812,1.8256096909687,0.417208169980933,NA,NA,-9.56451070468247,1.16795062440083,0.419297170238429,NA,NA,-12.987959342841,0.518742068059036,0.416332714442042,NA,NA,-0.908051185168119,0.846134156761366,0.371585142148595,NA,NA,7.90398521417719,1.1
"436",2003,1.05141883711707,0.277823366386939,96.92608506,85.7871652518,16.5183139850048,1.07257189987206,0.262423219324496,100.5122732,91.3623708526,19.8860814228424,1.32617262868328,0.238245846337033,91.97457836,56.5743478918,18.284830343213,2.56609393617889,0.272498625417137,102.1504303,20.4662592417,12.4783046197542,4.64487283722151,0.293741629535531,97.17210286,4.49513578905,5.11160308231966,2.72938141351696,0.345243001516767,114.8849486,0.962266887412,-8.0962224253326,3.29903312417008,0.383447700988641,100.7787571,0.232199672012,-12.9162951891091,3.50977484587446,0.414716900033029,100.3755114,0.229300991621,-11.1507954704991,1.33583461372649,0.418249730179464,104.0417986,1.06681768521,-8.60408690617747,1.33839141977132,0.421108732019455,106.7684307,6.43684310903,-6.91844132574331,0.824298097089214,0.407914782011392,99.47338031,23.3144237941,1.32120986203728,0.920969887010557,0.327013632766199,100.1117705,63.5392281361,9.63554419151814,1.4
"604",2004,1.44049837736508,0.269950513762075,91.39291246,80.8323710716,19.3906619199664,1.83209435472556,0.259416603778157,97.7411774,89.2427011544,19.5296757657312,1.59680664745329,0.251128699179522,101.1226748,62.4135593748,18.3103689655762,2.88054268961315,0.293350046368742,123.7388099,25.6100619262,9.39633534321876,3.0657564936152,0.301863816052013,111.6726164,5.51983207176,2.71273589313877,5.05207026958096,0.367737367760243,107.0374721,0.761119492102,-5.99224149875568,4.90472987798448,0.401751889119441,100.273336,0.206670181704,-12.4782375054989,3.00987782212029,0.39689045280636,101.6911085,0.306246314408,-16.2473288610432,1.94712754308909,0.40728878826469,103.9900843,1.02722910103,-7.08365683615501,1.17830661999259,0.416987078248027,102.3385131,6.04060231219,-3.22807531354206,0.585523149758444,0.3818508313041,91.60689869,20.8898103896,5.4955964031353,0.735627513209827,0.310884365353596,96.5683089,61.4540726914,10.621514451587,1.7
"772",2005,1.41894240827358,0.282897029262688,97.07562527,85.9818304311,15.502742366931,1.74564272759772,0.28186828952605,104.3730814,95.363851531,16.7061106171493,1.40147542149494,0.266249906612194,99.36918792,62.160170527,17.9977642483683,2.10017426580681,0.276378302042407,122.8707846,25.5181764846,10.7520885527599,3.91601131495139,0.319009182483833,135.9274817,7.33666929886,2.81350609626355,2.80369946566073,0.367913300168214,104.1268479,0.623524370137,-5.3234080287981,3.26653707229716,0.402601853347852,99.6843267,0.168564646975,-9.68685381843774,4.30049525548157,0.408109966798483,103.8453595,0.361084289042,-15.1420198785689,3.58160578336514,0.407700332568076,102.4297443,0.971548355324,-7.16022766098981,2.03458008249916,0.402491565649494,100.3652549,5.58956218979,-1.51374080593262,1.15896724214639,0.38255889641892,94.72166764,21.8529468416,4.27977912436224,1.15429122171026,0.31289378380293,92.7177165,58.4369567642,12.9705670035797,2.1
"940",2006,1.03476681014751,0.275668575098374,95.37654361,84.2453975002,17.1524410617027,1.23244393117991,0.253596554087403,95.1084185,86.4069589195,20.0022146294144,0.855855656912745,0.24140189381458,105.5209226,64.6834685274,16.9063326252037,1.75661252333856,0.246613474943117,100.4315317,20.4629218272,13.9507376877762,2.00401553660741,0.275967285861713,111.6414193,5.45644308877,3.46885217624702,4.05809214391501,0.339030922727584,106.1069667,0.676289205393,-14.5539208500045,5.79500553337327,0.372350791240888,100.7612235,0.229581414744,-10.3632256076636,3.60573210177555,0.412249639576932,101.9282152,0.305059179317,-11.1884042871818,2.04369349734547,0.416011146884967,109.6715167,1.28766938904,-10.2885252000933,1.07468354905742,0.421565752026289,111.6269404,6.98974621945,-6.0857255040715,0.843416436845163,0.4018074935157,103.230476,23.8006842071,3.68670249435318,0.830757820055213,0.32966809646244,97.99155255,61.3759825973,10.0345089924046,1.1
"1108",2007,1.70654135397611,0.298600723999048,100.6497042,88.9639882333,15.0979261541255,1.9883402195429,0.281122825530266,98.61543184,89.8686445296,19.8652630764406,1.49632356758596,0.261487743014956,108.8853369,66.1072703014,16.1570909354303,2.28493342319687,0.279867648319319,100.4109459,21.2014725533,11.5449130734341,3.86959309586703,0.331654856850957,135.9920441,7.4700061467,1.77101200640237,2.54000232180393,0.384434372463471,108.7660781,0.829031839169,-7.57542673200724,3.09494601799927,0.404745678586885,101.1764844,0.250090082372,-15.567032498564,4.51611037109248,0.381641423086908,101.5074365,0.266920528103,-10.5019466671606,2.24926036611013,0.386904332327767,107.6741975,1.1639576618,-11.1271488350433,2.186196467495,0.397015585401202,111.8346371,6.85929761911,-7.15735865597542,1.20505444899101,0.412189180346389,112.5190748,25.8582484035,1.40270536433597,0.78562849195445,0.355690653374041,107.6889822,67.3887911685,9.23700448534981,1.7
"1276",2008,1.18837497406603,0.289955923729397,98.92717712,87.8075385291,15.2720764449933,1.44857589646109,0.264950187993612,100.1795006,90.951367612,18.521746328924,2.2629692944495,0.269691946712875,101.8240251,62.5436621094,17.2362617677063,1.33122937322099,0.265165854466376,108.2661358,22.3356659247,12.0156683935122,3.18891079063694,0.288332400322316,106.3087443,5.10702663048,2.68624145500055,3.76638444336747,0.343206688783146,103.1020615,0.68478828647,-5.6091008983444,3.65842125572529,0.382701971863624,100.513421,0.21463607947,-16.3789293968273,2.63816428519843,0.407402694267419,104.1359316,0.365121259685,-14.5446791322586,1.96451691819649,0.410896017198239,104.7278023,1.13992133768,-9.65753159955721,2.2933422537205,0.422936298747609,112.8408279,6.99397935981,-5.56092584941292,0.543577663028894,0.416017089601803,111.1246998,25.9207519355,-0.31939882019997,0.821306763719526,0.357383149820619,100.4927123,63.2655008663,10.1719185145379,1.6
"1444",2009,1.30149417506698,0.267792296376538,101.3311176,89.5991062185,17.0045057800096,1.31585428537624,0.258245021408208,101.4451429,92.4644280344,20.6167366784407,1.42756483893427,0.244337189392745,98.47638225,60.9989957564,18.3870358314684,3.94626613400439,0.269904715942832,96.32633556,20.0592467351,14.2319982402635,2.88580886103026,0.301199023187024,140.500678,7.83547018967,0.770459123636178,6.0484739626986,0.379054738106127,108.7335121,0.858410666385,-8.08218266007831,1.72172848020543,0.39743073317621,100.9398841,0.227584625067,-15.529546080128,2.56134332540378,0.394188612965158,100.6226119,0.233319704727,-12.8165680460023,2.04691791803518,0.401308514582981,108.0495048,1.28130699306,-11.5667182143143,1.10000636497783,0.402135774464572,118.3674896,7.394545217,-8.95401777930046,0.689043798726351,0.403410847938719,111.2523409,26.5843087613,1.13235852709873,0.761425771637123,0.341259752213505,111.4702533,70.6128778549,9.29248749651327,1.7
