"","Year","Rainfall.6","Soil_Moisture.6","ET_Anomaly.6","ET.6","Temp.6","Rainfall.7","Soil_Moisture.7","ET_Anomaly.7","ET.7","Temp.7","Rainfall.8","Soil_Moisture.8","ET_Anomaly.8","ET.8","Temp.8","Rainfall.9","Soil_Moisture.9","ET_Anomaly.9","ET.9","Temp.9","Rainfall.10","Soil_Moisture.10","ET_Anomaly.10","ET.10","Temp.10","Rainfall.11","Soil_Moisture.11","ET_Anomaly.11","ET.11","Temp.11","Rainfall.12","Soil_Moisture.12","ET_Anomaly.12","ET.12","Temp.12","Rainfall.1","Soil_Moisture.1","ET_Anomaly.1","ET.1","Temp.1","Rainfall.2","Soil_Moisture.2","ET_Anomaly.2","ET.2","Temp.2","Rainfall.3","Soil_Moisture.3","ET_Anomaly.3","ET.3","Temp.3","Rainfall.4","Soil_Moisture.4","ET_Anomaly.4","ET.4","Temp.4","Rainfall.5","Soil_Moisture.5","ET_Anomaly.5","ET.5","Temp.5","Yield"
"3",2000,1.91713874035225,0.281598948428279,NA,NA,11.9776326681642,2.17054859659195,0.266585408332863,NA,NA,19.8758343678223,2.37641387194744,0.274346003735019,NA,NA,14.6590156073981,2.48099160406197,0.293832261556888,NA,NA,4.6014124644411,2.13757700283924,0.303980358077053,NA,NA,-5.63722330580262,1.98187757723934,0.325364868015756,NA,NA,-18.7873561192722,2.23555971668768,0.336252473403493,NA,NA,-27.701060284328,NA,0.325268097141886,NA,NA,NA,NA,0.330727633271773,NA,NA,-20.7886012417927,NA,0.34584241542508,NA,NA,-16.463949744839,NA,0.338374989828359,NA,NA,-9.73803188317762,NA,0.313948405498222,NA,NA,1.86781064969908,1.5
"101",2001,1.90005481143438,0.295475693295492,NA,NA,13.131834835612,2.20866490088603,0.274062464199709,NA,NA,19.5899522909663,2.21394163647136,0.26561077340544,NA,NA,17.0695973871603,2.48043741657658,0.275852419759363,NA,NA,8.7016355998063,2.56015256703529,0.289335325236057,NA,NA,-7.58989496077811,2.27177413179083,0.308052701951051,NA,NA,-19.3449454640797,1.81007643360233,0.32196365415726,NA,NA,-22.8620079053487,1.52469819879142,0.343321949206222,NA,NA,-26.129850967181,0.598921446188299,0.346381215438302,NA,NA,-25.8201569044325,0.887068161633935,0.357946082242917,NA,NA,-17.9211256609678,0.703792789786443,0.369529006966031,NA,NA,-8.02121391885838,1.53898621322543,0.323031557509995,NA,NA,3.92814356484761,1.3
"269",2002,1.96600988580963,0.272900365017662,NA,NA,15.0872687067993,2.13914916316554,0.267717044552145,NA,NA,19.1208022538958,2.3386662485768,0.283936900208006,NA,NA,15.4308890030627,2.99562881246974,0.293021836479521,NA,NA,7.03311232033856,2.28087610104471,0.308640449248836,NA,NA,-6.10381096724891,2.14201550294009,0.327253752789818,NA,NA,-18.6467931903167,1.91682792588324,0.349325120043011,NA,NA,-21.2719873460453,2.25698506206806,0.333347144685572,NA,NA,-28.0993258397336,1.00199010250242,0.338617202611678,NA,NA,-27.4301928786366,0.865505729836973,0.34213178000309,NA,NA,-23.4628342106446,0.722876432415393,0.346028687635591,NA,NA,-11.6755859057538,0.987474887869242,0.322773996941617,NA,NA,2.35590288113982,1.2
"437",2003,1.74549594323111,0.27570271284267,NA,67.778983265,14.6907796677041,2.28131693474286,0.262044815470225,NA,79.6676893683,19.7195788503352,2.81754481712862,0.268480307526077,NA,43.6431032011,16.8402493936049,3.48191321361471,0.28973000548556,NA,11.8480889254,7.58421315083475,2.96567208460331,0.30163213586144,NA,3.04647211139,-4.32388033016476,2.86489127383694,0.322437584031448,NA,1.02450006195,-18.4034639192391,2.18202156170436,0.341946073150304,NA,0.172398255441,-24.8552831822681,1.987425157852,0.359458623388897,NA,0.0981461477448,-26.6454292905362,1.04525686390725,0.360820753171833,NA,0.243017055582,-28.2171201518005,0.75633171017525,0.365899518113141,NA,1.78523862968,-21.0150762651028,0.834195223578766,0.365275737583898,NA,9.95146246489,-8.83359521697153,1.04686381808305,0.312856365265424,NA,35.1463357172,5.97043809150988,1.4
"605",2004,1.57288040850758,0.286959946886384,NA,68.4719378342,14.039854492504,2.07525327876022,0.256152749466952,NA,82.7390509306,18.8080984553746,2.13406003570127,0.269918565131192,NA,52.5419644591,14.7449760608611,3.3684096673217,0.29348835650975,NA,16.2923079277,6.16078015184376,2.81189331449436,0.304434234918364,NA,3.96540725261,-6.2085891834021,2.39189256717651,0.323368359031033,NA,1.07997968138,-19.6058603963066,2.549815166193,0.337979955166735,NA,0.17090552548,-30.4808374941482,2.97534876819387,0.348995785208958,NA,0.106893931178,-32.041790275863,0.836271748200339,0.353499857054234,NA,0.234053294808,-25.4464503034938,1.17654959973005,0.365670580929976,NA,1.72162530486,-20.3756642978281,0.775750947053929,0.359522539485185,NA,10.4744432752,-9.20506907102303,1.39101538756607,0.331631750875371,NA,40.6784991804,0.993256090683396,1.6
"773",2005,2.15720047645011,0.284831991330728,NA,66.8660676077,14.4085574462947,2.40820391850606,0.272707646015083,NA,83.0014256192,18.05683436212,2.75700691295588,0.274705356034323,NA,49.9582699448,15.8139848291895,3.35544933680957,0.288606254719396,NA,15.5408754322,6.07660993428968,2.68790387075955,0.301016340535406,NA,4.45670368059,-4.85653554878969,2.33748452916994,0.316992291945011,NA,0.952006699232,-18.6034442019271,2.39563820617921,0.334025555129948,NA,0.160869096718,-24.3435724741693,1.87815012104116,0.346885575259402,NA,0.108156071083,-30.4586243593262,1.80830347187798,0.355225070657536,NA,0.227481280227,-25.1037113979791,0.986335283617889,0.356479561256287,NA,1.62965059118,-17.3406248192394,0.987659804434424,0.350975326998055,NA,8.26366242509,-6.53755139053174,1.35990277204936,0.314446568477095,NA,34.2787385004,4.79656515772805,1.8
"941",2006,2.06273982234491,0.271946025379681,NA,63.3179813692,15.8603784083478,2.21646031242265,0.258824521054292,NA,80.2040095028,19.1231394476589,2.39443298634732,0.256080864374646,NA,47.2730910078,16.4791970681055,2.4234281209678,0.264387013336115,NA,13.1153066609,8.85222251687151,2.53962360498261,0.282623336334089,NA,4.37548970201,-4.0895278673761,2.78770294276664,0.30279695798258,NA,0.975801767517,-20.3097779626666,2.21825022737852,0.317474532903062,NA,0.165334004674,-22.8115564854699,1.87650857431434,0.342877323357454,NA,0.0950734984137,-27.4152010840368,1.5704258343987,0.348712926730834,NA,0.251827736654,-23.6402240169957,0.819320326178801,0.353939767490491,NA,1.69719187325,-17.4063467920739,0.899282019582052,0.348500574165215,NA,7.67619242294,-5.95563364727706,1.68453045761775,0.310744581497702,NA,32.2714199391,5.51518043870973,1.7
"1109",2007,2.12548940780057,0.26344493345392,NA,67.1999540624,14.8448799258545,2.39567235214149,0.255277042416284,NA,80.2214530001,19.741693125155,2.68031374340905,0.267464293714676,NA,52.4111067221,14.8859765148428,3.58654148438004,0.280630003479286,NA,16.2466306415,5.4433278321191,3.38410556316372,0.295504342762105,NA,4.15512809829,-5.21747964265303,2.70560807571909,0.311130379350584,NA,0.89933638219,-20.2093541522351,1.46425545632558,0.318250880942768,NA,0.191338423141,-27.3731594437595,2.32468899531231,0.327905034522596,NA,0.0933033216361,-26.8685143636936,1.12496778589915,0.329712429614345,NA,0.247253119738,-26.593707320365,0.998389899192921,0.337615906025842,NA,1.69742576107,-21.6853612301159,0.887123893214221,0.344792649010727,NA,10.478479351,-7.33431327086879,1.57776234200556,0.301351722508882,NA,36.4332003667,3.1257982572373,1.5
"1277",2008,2.14628219681416,0.262651611794908,NA,65.6562516251,15.1137981197968,2.48715508172752,0.260025375159568,NA,82.1011423709,18.8787285629959,2.88747536732142,0.274987382248141,NA,50.7875902899,16.7761329451331,2.8687031080277,0.287260176552928,NA,16.862609802,6.3230080712433,3.05276479202862,0.300433818757945,NA,4.15963331942,-4.19677464498683,3.05170819133025,0.315315684504337,NA,0.737850766565,-18.3889982697554,2.48954634309562,0.328774006023992,NA,0.16930489124,-28.8953173583157,2.07257464412971,0.32740807633703,NA,0.107134739097,-29.9959851979893,1.27693899472,0.33238022803579,NA,0.242991822522,-27.6854205898819,0.999835222439012,0.344609187447475,NA,1.90575938084,-20.5650708630814,0.833852831222848,0.347446552855568,NA,11.0863127576,-9.3174823190621,1.00532321882389,0.301873620061798,NA,37.4800649246,5.00843011752326,1.9
"1445",2009,2.12343172718409,0.267871801123358,NA,68.3821596952,13.4188262101459,2.5943865324287,0.261459654909891,NA,85.6140436478,18.0009121277276,2.38382182555457,0.26956142078805,NA,51.4148658314,15.4445150115609,3.07486701620866,0.28015456370763,NA,14.4443434408,9.05818522492052,2.05883099413953,0.295228125034059,NA,4.78091785592,-9.65545038646375,2.34089986799119,0.313598948516574,NA,1.03633754829,-15.312317558748,1.58928617179884,0.319174242187207,NA,0.173281568362,-24.2059126316359,1.34385801898946,0.337610262810775,NA,0.0968526856074,-28.2445767365418,0.901960901495513,0.348015723210226,NA,0.258137761047,-25.8824624328218,0.953469038676077,0.352911532393347,NA,2.02906631762,-21.5652503188888,0.908109198989316,0.360359075254741,NA,11.5344357435,-9.2018503493383,1.2722131159815,0.312741364130069,NA,39.8066556492,3.14850435630236,2
