"","Region","End.Date","Value","year","Detrended.Value"
"1","Canada","1943-12-31",0.77,1943,-0.393650534541445
"2","Canada","1944-12-31",0.65,1944,-0.514896952399362
"3","Canada","1945-12-31",0.76,1945,-0.406143370257278
"4","Canada","1946-12-31",0.62,1946,-0.547389788115195
"5","Canada","1947-12-31",0.42,1947,-0.748636205973111
"6","Canada","1948-12-31",0.895,1948,-0.274882623831028
"7","Canada","1949-12-31",0.95,1949,-0.221129041688944
"8","Canada","1950-12-31",0.25,1950,-0.922375459546861
"9","Canada","1951-12-31",1.04,1951,-0.133621877404777
"10","Canada","1952-12-31",0.855,1952,-0.319868295262694
"11","Canada","1953-12-31",0.935,1953,-0.24111471312061
"12","Canada","1954-12-31",0.815,1954,-0.362361130978527
"13","Canada","1955-12-31",0.635,1955,-0.543607548836443
"14","Canada","1956-12-31",0.955,1956,-0.22485396669436
"15","Canada","1957-12-31",0.785,1957,-0.396100384552276
"16","Canada","1958-12-31",0.695,1958,-0.487346802410193
"17","Canada","1959-12-31",0.935,1959,-0.248593220268109
"18","Canada","1960-12-31",0.815,1960,-0.369839638126026
"19","Canada","1961-12-31",0.885,1961,-0.301086055983942
"20","Canada","1962-12-31",0.885,1962,-0.302332473841859
"21","Canada","1963-12-31",0.98,1963,-0.208578891699775
"22","Canada","1964-12-31",0.935,1964,-0.254825309557692
"23","Canada","1965-12-31",0.885,1965,-0.306071727415608
"24","Canada","1966-12-31",0.95,1966,-0.242318145273525
"25","Canada","1967-12-31",0.85,1967,-0.343564563131441
"26","Canada","1968-12-31",1.035,1968,-0.159810980989358
"27","Canada","1969-12-31",0.93,1969,-0.266057398847274
"28","Canada","1970-12-31",1,1970,-0.197303816705191
"29","Canada","1971-12-31",1,1971,-0.198550234563107
"30","Canada","1972-12-31",0.98,1972,-0.219796652421024
"31","Canada","1973-12-31",0.945,1973,-0.25604307027894
"32","Canada","1974-12-31",0.91,1974,-0.292289488136857
"33","Canada","1975-12-31",1.005,1975,-0.198535905994773
"34","Canada","1976-12-31",1.165,1976,-0.0397823238526895
"35","Canada","1977-12-31",1.36,1977,0.153971258289394
"36","Canada","1978-12-31",1.24,1978,0.0327248404314775
"37","Canada","1979-12-31",1,1979,-0.208521577426439
"38","Canada","1980-12-31",1.195,1980,-0.0147679952843556
"39","Canada","1981-12-31",1.32,1981,0.108985586857728
"40","Canada","1982-12-31",1.25,1982,0.0377391689998114
"41","Canada","1983-12-31",1.12,1983,-0.093507248858105
"42","Canada","1984-12-31",1.11,1984,-0.104753666716021
"43","Canada","1985-12-31",1.26,1985,0.043999915426062
"44","Canada","1986-12-31",1.4,1986,0.182753497568146
"45","Canada","1987-12-31",1.4,1987,0.181507079710229
"46","Canada","1988-12-31",1.1,1988,-0.119739338147687
"47","Canada","1989-12-31",1.1,1989,-0.120985756005604
"48","Canada","1990-12-31",1.3,1990,0.0777678261364796
"49","Canada","1991-12-31",1.3,1991,0.076521408278563
"50","Canada","1992-12-31",1.3,1992,0.0752749904206467
"51","Canada","1993-12-31",1.3,1993,0.0740285725627301
"52","Canada","1994-12-31",1.3,1994,0.0727821547048135
"53","Canada","1995-12-31",1.2,1995,-0.0284642631531029
"54","Canada","1996-12-31",1.5,1996,0.270289318988981
"55","Canada","1997-12-31",1.3,1997,0.0690429011310643
"56","Canada","1998-12-31",1.4,1998,0.167796483273148
"57","Canada","1999-12-31",1.6,1999,0.366550065415231
"58","Canada","2000-12-31",1.5,2000,0.265303647557315
"59","Canada","2001-12-31",1.3,2001,0.0640572296993982
"60","Canada","2002-12-31",1.2,2002,-0.0371891881585185
"61","Canada","2003-12-31",1.4,2003,0.161564393983565
"62","Canada","2004-12-31",1.6,2004,0.360317976125649
"63","Canada","2005-12-31",1.8,2005,0.559071558267732
"64","Canada","2006-12-31",1.7,2006,0.457825140409816
"65","Canada","2007-12-31",1.5,2007,0.256578722551899
"66","Canada","2008-12-31",1.9,2008,0.655332304693983
"67","Canada","2009-12-31",2,2009,0.754085886836066
"68","Canada","2010-12-31",1.9,2010,0.65283946897815
"69","Canada","2011-12-31",1.9,2011,0.651593051120233
"70","Canada","2012-12-31",1.6,2012,0.350346633262317
"71","Canada","2013-12-31",2.3,2013,1.0491002154044
"72","Canada","2014-12-31",2,2014,0.747853797546484
"73","Canada","2015-12-31",2.2,2015,0.946607379688567
"74","Canada","2016-12-31",2.4,2016,1.14536096183065
"75","Canada","2017-12-31",2.3,2017,1.04411454397273
"76","Canada","2018-12-31",2.272,2018,1.01486812611482
"77","Canada","2019-12-31",2.319,2019,1.0606217082569
"78","Canada","2020-12-31",2.25,2020,0.990375290398985
"79","Alberta","1955-12-31",0.625,1955,-0.635871127458932
"80","Alberta","1956-12-31",1.01,1956,-0.252117545316848
"81","Alberta","1957-12-31",0.83,1957,-0.433363963174765
"82","Alberta","1958-12-31",0.73,1958,-0.534610381032681
"83","Alberta","1959-12-31",0.89,1959,-0.375856798890598
"84","Alberta","1960-12-31",0.825,1960,-0.442103216748514
"85","Alberta","1961-12-31",0.96,1961,-0.308349634606431
"86","Alberta","1962-12-31",0.865,1962,-0.404596052464347
"87","Alberta","1963-12-31",0.895,1963,-0.375842470322264
"88","Alberta","1964-12-31",0.895,1964,-0.37708888818018
