Metric,Metric Id,Item,Item Id,Region,Region Id,Partner Region,Partner Region Id,Unit,Unit Id,Frequency,Frequency Id,Start Date,End Date,Value,Source
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,1/1/2003,1/31/2003,100.7581312,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,2/1/2003,2/28/2003,102.7550635,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,3/1/2003,3/31/2003,124.3461138,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,4/1/2003,4/30/2003,105.0822232,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,5/1/2003,5/31/2003,88.40314972,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,6/1/2003,6/30/2003,97.05886575,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,7/1/2003,7/31/2003,96.63461503,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,8/1/2003,8/31/2003,70.30269284,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,9/1/2003,9/30/2003,89.42655493,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,10/1/2003,10/31/2003,93.83733261,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,11/1/2003,11/30/2003,118.2664965,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,12/1/2003,12/31/2003,101.4458567,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,1/1/2004,1/31/2004,101.3560772,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,2/1/2004,2/29/2004,102.2287289,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,3/1/2004,3/31/2004,111.156098,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,4/1/2004,4/30/2004,93.91484899,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,5/1/2004,5/31/2004,104.2836489,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,6/1/2004,6/30/2004,99.55367484,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,7/1/2004,7/31/2004,97.26496493,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,8/1/2004,8/31/2004,105.7278384,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,9/1/2004,9/30/2004,115.772737,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,10/1/2004,10/31/2004,117.8831496,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,11/1/2004,11/30/2004,124.116584,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,12/1/2004,12/31/2004,100.3437443,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,1/1/2005,1/31/2005,100.4745214,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,2/1/2005,2/28/2005,101.5823432,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,3/1/2005,3/31/2005,106.9175587,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,4/1/2005,4/30/2005,76.31324206,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,5/1/2005,5/31/2005,94.10906307,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,6/1/2005,6/30/2005,99.66699233,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,7/1/2005,7/31/2005,101.200559,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,8/1/2005,8/31/2005,111.7255839,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,9/1/2005,9/30/2005,120.3291454,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,10/1/2005,10/31/2005,153.9379379,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,11/1/2005,11/30/2005,114.1823637,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,12/1/2005,12/31/2005,100.4568862,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,1/1/2006,1/31/2006,100.2637332,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,2/1/2006,2/28/2006,102.2940147,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,3/1/2006,3/31/2006,121.2471112,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,4/1/2006,4/30/2006,84.0795603,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,5/1/2006,5/31/2006,86.59497105,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,6/1/2006,6/30/2006,96.88291324,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,7/1/2006,7/31/2006,89.75705091,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,8/1/2006,8/31/2006,97.08786514,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,9/1/2006,9/30/2006,100.3626578,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,10/1/2006,10/31/2006,136.4439615,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,11/1/2006,11/30/2006,117.2584124,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,12/1/2006,12/31/2006,101.0674481,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,1/1/2007,1/31/2007,100.5124001,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,2/1/2007,2/28/2007,102.8610345,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,3/1/2007,3/31/2007,117.8037708,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,4/1/2007,4/30/2007,134.5929888,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,5/1/2007,5/31/2007,100.3104012,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,6/1/2007,6/30/2007,99.5166136,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,7/1/2007,7/31/2007,91.74147494,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,8/1/2007,8/31/2007,100.2091421,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,9/1/2007,9/30/2007,112.7633505,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,10/1/2007,10/31/2007,116.7489387,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,11/1/2007,11/30/2007,109.0242036,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,12/1/2007,12/31/2007,100.5024188,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,1/1/2008,1/31/2008,100.5335268,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,2/1/2008,2/29/2008,101.7388004,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,3/1/2008,3/31/2008,113.3950834,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,4/1/2008,4/30/2008,126.8939825,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,5/1/2008,5/31/2008,99.62581539,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,6/1/2008,6/30/2008,96.33594097,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,7/1/2008,7/31/2008,97.47686147,"FEWS NET ET Anomaly, Gro Intelligence"
