"Region","month","year","Value"
"Alberta",1,2003,0.0413919774417
"British Columbia",1,2003,0.229300991621
"Canada",1,2003,0.0981461477448
"Manitoba",1,2003,0
"New Brunswick",1,2003,0.851356279383
"Newfoundland and Labrador",1,2003,0.509192671639
"Northwest Territories",1,2003,0
"Nova Scotia",1,2003,5.77419739449
"Nunavut",1,2003,3.13570802719e-06
"Ontario",1,2003,0.267884727312
"Prince Edward Island",1,2003,2.96688329031
"Québec",1,2003,0.0888572472183
"Saskatchewan",1,2003,0.0113725557081
"Yukon",1,2003,0
"Alberta",2,2003,0.18675830039
"British Columbia",2,2003,1.06681768521
"Canada",2,2003,0.243017055582
"Manitoba",2,2003,0.0759897719979
"New Brunswick",2,2003,2.36084090187
"Newfoundland and Labrador",2,2003,0.483200731484
"Northwest Territories",2,2003,0
"Nova Scotia",2,2003,8.31463889327
"Nunavut",2,2003,0
"Ontario",2,2003,0.494817935536
"Prince Edward Island",2,2003,2.32536277041
"Québec",2,2003,0.309191722705
"Saskatchewan",2,2003,0.0270458770079
"Yukon",2,2003,0
"Alberta",3,2003,3.77056290603
"British Columbia",3,2003,6.43684310903
"Canada",3,2003,1.78523862968
"Manitoba",3,2003,1.14417179169
"New Brunswick",3,2003,13.734267394
"Newfoundland and Labrador",3,2003,1.59070489068
"Northwest Territories",3,2003,0.1593471148
"Nova Scotia",3,2003,20.5196324935
"Nunavut",3,2003,0.0147157827502
"Ontario",3,2003,4.6531190544
"Prince Edward Island",3,2003,12.532003917
"Québec",3,2003,2.12554449112
"Saskatchewan",3,2003,1.19758350361
"Yukon",3,2003,0.495871878077
"Alberta",4,2003,21.5464493407
"British Columbia",4,2003,23.3144237941
"Canada",4,2003,9.95146246489
"Manitoba",4,2003,14.6518552975
"New Brunswick",4,2003,34.6629197927
"Newfoundland and Labrador",4,2003,9.95442269865
"Northwest Territories",4,2003,2.60981139846
"Nova Scotia",4,2003,30.861245244
"Nunavut",4,2003,0.294147372006
"Ontario",4,2003,26.3788770539
"Prince Edward Island",4,2003,27.7414047895
