"Region","Date","Value"
"Alberta",2003-01-31,100.7581312
"Alberta",2003-02-28,102.7550635
"Alberta",2003-03-31,124.3461138
"Alberta",2003-04-30,105.0822232
"Alberta",2003-05-31,88.40314972
"Alberta",2003-06-30,97.05886575
"Alberta",2003-07-31,96.63461503
"Alberta",2003-08-31,70.30269284
"Alberta",2003-09-30,89.42655493
"Alberta",2003-10-31,93.83733261
"Alberta",2003-11-30,118.2664965
"Alberta",2003-12-31,101.4458567
"Alberta",2004-01-31,101.3560772
"Alberta",2004-02-29,102.2287289
"Alberta",2004-03-31,111.156098
"Alberta",2004-04-30,93.91484899
"Alberta",2004-05-31,104.2836489
"Alberta",2004-06-30,99.55367484
"Alberta",2004-07-31,97.26496493
"Alberta",2004-08-31,105.7278384
"Alberta",2004-09-30,115.772737
"Alberta",2004-10-31,117.8831496
"Alberta",2004-11-30,124.116584
"Alberta",2004-12-31,100.3437443
"Alberta",2005-01-31,100.4745214
"Alberta",2005-02-28,101.5823432
"Alberta",2005-03-31,106.9175587
"Alberta",2005-04-30,76.31324206
"Alberta",2005-05-31,94.10906307
"Alberta",2005-06-30,99.66699233
"Alberta",2005-07-31,101.200559
"Alberta",2005-08-31,111.7255839
"Alberta",2005-09-30,120.3291454
"Alberta",2005-10-31,153.9379379
"Alberta",2005-11-30,114.1823637
"Alberta",2005-12-31,100.4568862
"Alberta",2006-01-31,100.2637332
"Alberta",2006-02-28,102.2940147
"Alberta",2006-03-31,121.2471112
"Alberta",2006-04-30,84.0795603
"Alberta",2006-05-31,86.59497105
"Alberta",2006-06-30,96.88291324
"Alberta",2006-07-31,89.75705091
"Alberta",2006-08-31,97.08786514
"Alberta",2006-09-30,100.3626578
"Alberta",2006-10-31,136.4439615
"Alberta",2006-11-30,117.2584124
"Alberta",2006-12-31,101.0674481
"Alberta",2007-01-31,100.5124001
"Alberta",2007-02-28,102.8610345
"Alberta",2007-03-31,117.8037708
"Alberta",2007-04-30,134.5929888
"Alberta",2007-05-31,100.3104012
"Alberta",2007-06-30,99.5166136
"Alberta",2007-07-31,91.74147494
"Alberta",2007-08-31,100.2091421
"Alberta",2007-09-30,112.7633505
"Alberta",2007-10-31,116.7489387
"Alberta",2007-11-30,109.0242036
"Alberta",2007-12-31,100.5024188
"Alberta",2008-01-31,100.5335268
"Alberta",2008-02-29,101.7388004
"Alberta",2008-03-31,113.3950834
"Alberta",2008-04-30,126.8939825
"Alberta",2008-05-31,99.62581539
"Alberta",2008-06-30,96.33594097
"Alberta",2008-07-31,97.47686147
"Alberta",2008-08-31,92.83172499
"Alberta",2008-09-30,113.0295719
"Alberta",2008-10-31,100.4199803
"Alberta",2008-11-30,105.6719965
"Alberta",2008-12-31,100.3194598
"Alberta",2009-01-31,100.946443
"Alberta",2009-02-28,102.5564076
"Alberta",2009-03-31,142.6378554
"Alberta",2009-04-30,133.3801101
"Alberta",2009-05-31,103.106988
"Alberta",2009-06-30,98.75815254
"Alberta",2009-07-31,103.861767
"Alberta",2009-08-31,106.5283188
"Alberta",2009-09-30,90.3531409
"Alberta",2009-10-31,120.7614643
"Alberta",2009-11-30,109.5370333
"Alberta",2009-12-31,101.769076
"Alberta",2010-01-31,100.5004284
"Alberta",2010-02-28,102.119612
"Alberta",2010-03-31,98.78620222
"Alberta",2010-04-30,81.66051702
"Alberta",2010-05-31,99.51510363
"Alberta",2010-06-30,101.3625179
"Alberta",2010-07-31,102.6687588
"Alberta",2010-08-31,110.1083082
"Alberta",2010-09-30,131.8659138
"Alberta",2010-10-31,143.0411016
"Alberta",2010-11-30,106.825733
"Alberta",2010-12-31,101.0227921
"Alberta",2011-01-31,100.730883
"Alberta",2011-02-28,102.2390406
"Alberta",2011-03-31,135.599401
"Alberta",2011-04-30,149.4315629
"Alberta",2011-05-31,108.6973269
"Alberta",2011-06-30,103.3491291
"Alberta",2011-07-31,102.6528045
"Alberta",2011-08-31,105.5380525
"Alberta",2011-09-30,110.819414
"Alberta",2011-10-31,136.0164702
"Alberta",2011-11-30,114.7939163
"Alberta",2011-12-31,101.2901432
"Alberta",2012-01-31,100.472723
"Alberta",2012-02-29,102.0578145
"Alberta",2012-03-31,119.2147576
"Alberta",2012-04-30,103.8434415
"Alberta",2012-05-31,100.4595984
"Alberta",2012-06-30,103.4530478
"Alberta",2012-07-31,96.80543841
"Alberta",2012-08-31,97.61882797
"Alberta",2012-09-30,115.6606341
"Alberta",2012-10-31,116.7616685
"Alberta",2012-11-30,119.9811245
