"Region","month","year","Value"
"Alberta",6,2000,1.87674734143794
"British Columbia",6,2000,0.963260905829104
"Canada",6,2000,1.91713874035225
"Manitoba",6,2000,2.2496987277209
"New Brunswick",6,2000,3.91513873138861
"Newfoundland and Labrador",6,2000,3.88075243971957
"Northwest Territories",6,2000,1.19585502775399
"Nova Scotia",6,2000,4.71351882634276
"Nunavut",6,2000,0.754100475519531
"Ontario",6,2000,3.364117906827
"Prince Edward Island",6,2000,5.33512491743017
"Québec",6,2000,2.16777875051827
"Saskatchewan",6,2000,2.15288133866776
"Yukon",6,2000,1.14708808136405
"Alberta",7,2000,3.7912936801184
"British Columbia",7,2000,1.60035045556833
"Canada",7,2000,2.17054859659195
"Manitoba",7,2000,2.87818242447583
"New Brunswick",7,2000,3.25463175527638
"Newfoundland and Labrador",7,2000,3.22912292651726
"Northwest Territories",7,2000,2.11805983103598
"Nova Scotia",7,2000,2.44496528427481
"Nunavut",7,2000,1.04736438435418
"Ontario",7,2000,2.40448156990111
"Prince Edward Island",7,2000,3.46682324317194
"Québec",7,2000,2.74315831186825
"Saskatchewan",7,2000,3.92833557141312
"Yukon",7,2000,1.76261284488793
"Alberta",8,2000,2.73965303658832
"British Columbia",8,2000,1.63779264196654
"Canada",8,2000,2.37641387194744
"Manitoba",8,2000,3.98363533712678
"New Brunswick",8,2000,2.69208525916292
"Newfoundland and Labrador",8,2000,2.1091526749996
"Northwest Territories",8,2000,1.91066490561481
"Nova Scotia",8,2000,1.91243991551686
"Nunavut",8,2000,1.58751430529942
"Ontario",8,2000,4.27984130610488
"Prince Edward Island",8,2000,2.64153879621304
"Québec",8,2000,3.2950312370481
"Saskatchewan",8,2000,3.15277315674188
"Yukon",8,2000,1.0341596827457
"Alberta",9,2000,1.95364631917021
"British Columbia",9,2000,2.09245542524529
"Canada",9,2000,2.48099160406197
"Manitoba",9,2000,4.03120430341099
"New Brunswick",9,2000,2.79965066212433
"Newfoundland and Labrador",9,2000,2.83471401255236
"Northwest Territories",9,2000,1.39849615445172
"Nova Scotia",9,2000,1.78315746808655
"Nunavut",9,2000,1.64797087153275
"Ontario",9,2000,3.67403652806887
"Prince Edward Island",9,2000,2.74711250612507
"Québec",9,2000,4.77365757088258
"Saskatchewan",9,2000,1.92864152469238
"Yukon",9,2000,0.686216839813254
"Alberta",10,2000,0.646649055771
"British Columbia",10,2000,2.89632526159885
"Canada",10,2000,2.13757700283924
"Manitoba",10,2000,1.51399995345863
"New Brunswick",10,2000,4.18005087423076
"Newfoundland and Labrador",10,2000,4.21879381449168
"Northwest Territories",10,2000,1.5797454859966
"Nova Scotia",10,2000,8.32880008703409
"Nunavut",10,2000,1.40186038039244
