"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1998-10-01","1998-10-31",589,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1998-11-01","1998-11-30",3233,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1998-12-01","1998-12-31",2739,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-01-01","1999-01-31",2289,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-02-01","1999-02-28",2268,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-03-01","1999-03-31",3387,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-04-01","1999-04-30",1341,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-05-01","1999-05-31",299,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-06-01","1999-06-30",89,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-07-01","1999-07-31",0,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-08-01","1999-08-31",15,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-09-01","1999-09-30",0,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-10-01","1999-10-31",300,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-11-01","1999-11-30",2700,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"1999-12-01","1999-12-31",2400,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"2000-01-01","2000-01-31",2100,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"2000-02-01","2000-02-29",3800,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"2000-03-01","2000-03-31",2000,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"2000-04-01","2000-04-30",900,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"2000-05-01","2000-05-31",600,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"2000-06-01","2000-06-30",400,"SAGIS Supply and Demand, Gro Intelligence"
"Domestic Consumption (mass)",1480032,"Canola",3418,"South Africa",1187,"World",0,"tonne",14,"monthly",6,"2000-07-01","2000-07-31",500,"SAGIS Supply and Demand, Gro Intelligence"
