"","Year","Rainfall.6","Soil_Moisture.6","ET_Anomaly.6","ET.6","Temp.6","Rainfall.7","Soil_Moisture.7","ET_Anomaly.7","ET.7","Temp.7","Rainfall.8","Soil_Moisture.8","ET_Anomaly.8","ET.8","Temp.8","Rainfall.9","Soil_Moisture.9","ET_Anomaly.9","ET.9","Temp.9","Rainfall.10","Soil_Moisture.10","ET_Anomaly.10","ET.10","Temp.10","Rainfall.11","Soil_Moisture.11","ET_Anomaly.11","ET.11","Temp.11","Rainfall.12","Soil_Moisture.12","ET_Anomaly.12","ET.12","Temp.12","Rainfall.1","Soil_Moisture.1","ET_Anomaly.1","ET.1","Temp.1","Rainfall.2","Soil_Moisture.2","ET_Anomaly.2","ET.2","Temp.2","Rainfall.3","Soil_Moisture.3","ET_Anomaly.3","ET.3","Temp.3","Rainfall.4","Soil_Moisture.4","ET_Anomaly.4","ET.4","Temp.4","Rainfall.5","Soil_Moisture.5","ET_Anomaly.5","ET.5","Temp.5","Yield"
"4",2000,2.2496987277209,0.254958864660662,NA,NA,17.937425633141,2.87818242447583,0.259079593678551,NA,NA,23.7731332268259,3.98363533712678,0.250045608937354,NA,NA,21.2067163279896,4.03120430341099,0.268692423151808,NA,NA,13.5841024848841,1.51399995345863,0.262461361456459,NA,NA,7.21184735810897,1.69646105791509,0.303085047827521,NA,NA,-12.4986625320971,2.06441864364627,0.309965295796256,NA,NA,-26.5614211340945,NA,0.322069777486399,NA,NA,NA,NA,0.338490061154595,NA,NA,-6.8190574580875,NA,0.376838536598264,NA,NA,-3.85972741269602,NA,0.346352148099393,NA,NA,-0.124994184510054,NA,0.292859045217847,NA,NA,13.069926709093,1.6
"102",2001,2.76939500363989,0.257397805670078,NA,NA,22.6816651517138,2.86253366870651,0.244191020556649,NA,NA,23.604314738839,4.07157639708215,0.232738811848234,NA,NA,22.0873577241127,2.80316416226447,0.243501029455389,NA,NA,16.357249289322,1.34019235795308,0.246420551794336,NA,NA,4.40220951442295,0.722185835246896,0.281142001345634,NA,NA,-7.49366824698365,0.731030901710736,0.289392784522208,NA,NA,-18.7730777205484,0.780728838061095,0.313489266021316,NA,NA,-18.447378145555,0.324102406325661,0.315560183601152,NA,NA,-21.9353709428646,0.294809139342782,0.344426497278919,NA,NA,-9.3742640435439,0.420390413674775,0.38803696192274,NA,NA,0.91614607382959,2.38724249348502,0.268459719502975,NA,NA,15.7553861680983,1.5
"270",2002,2.54952618918383,0.233375270798509,NA,NA,21.8829245553738,2.63803500844124,0.226685035409595,NA,NA,24.0315026033852,3.64608966613781,0.249664129918228,NA,NA,20.0770312797017,4.2844895573046,0.271967137173406,NA,NA,14.0883220765952,0.836217076086598,0.263281892974182,NA,NA,-0.124180303218428,0.995822561286577,0.266833455436628,NA,NA,-13.0464130299156,1.45768676303972,0.28829946483381,NA,NA,-17.7075030536616,1.73999564059749,0.310822975758849,NA,NA,-24.0533441337993,0.335248869883169,0.320146596836789,NA,NA,-17.9501070992888,0.245369402081203,0.322117185239601,NA,NA,-18.3034596714195,0.479484586883055,0.363218912935596,NA,NA,-2.8160521601603,0.726318320618146,0.329795666879569,NA,NA,8.36384724100748,1.7
"438",2003,2.18160768732805,0.219139495008892,101.4698711,89.1748985396,21.0940276989153,2.92013681920845,0.230393669246384,98.37767231,105.80563113,23.8107835064184,3.71217000326518,0.213202902689572,69.72615515,47.8860311428,24.055084666529,4.10579524420342,0.247979385278373,89.90684427,16.7816958822,14.0390948567721,1.58819315258384,0.254386101931316,129.9700911,6.83435413286,6.63595130226304,1.17628826983778,0.264736264755767,106.8146789,1.06377382538,-11.3456197812758,1.23747506855941,0.283762692944038,100,0.00498111520871,-17.9697418397168,1.69210598448395,0.310906435111011,100,0,-23.7988130472812,0.806124074214109,0.309791768418608,100.2381469,0.0759897719979,-25.8115322706502,0.371481494506954,0.328907246626863,102.1238227,1.14417179169,-12.8401700210982,0.469508673237926,0.347890571078815,101.8553789,14.6518552975,0.854913604883584,0.901114232113883,0.23870146201979,85.41519494,46.8159663277,15.0061071592983,1.8
"606",2004,1.42521051186189,0.273221380422195,106.5993727,91.8470378512,17.3662510744345,2.36167888299599,0.229100674547396,96.58938246,104.00645866,23.0823925835867,3.17029982073742,0.244485734200136,99.88492838,70.2581948718,17.2140034370899,4.7663101024799,0.27155976381375,120.0125515,23.6399574129,14.1126207772966,1.52946811703172,0.263306306264754,133.3139898,7.86461219962,4.86106425941968,1.40670613658526,0.312430204322693,122.0771166,1.66364598672,-7.21901277809677,1.2716457653206,0.326528990403009,100,0.00109548386011,-26.6259088763714,3.06241921978936,0.291165125527782,100,0,-30.1976438254245,0.57089304886324,0.294136096905635,100.132828,0.0732558935258,-18.4995878910884,1.51665966658646,0.343129969292901,108.4267135,1.5225587602,-12.5963334739887,0.396976387924639,0.368006116479801,127.8228211,19.3235824243,-1.7050200234917,1.29290893401502,0.328228738257961,132.5624975,70.3184721746,6.68756877673333,1.7
"774",2005,3.16132471369822,0.270089712102918,102.0498741,89.2475310406,20.2721460763403,4.6285584246847,0.275991329575639,95.21665101,103.278954047,22.1960354960994,4.01890275925511,0.265438773036056,98.671844,68.5679968435,19.7244209121312,5.07465742746697,0.275800130236069,114.7071795,22.6429272802,15.011086472426,1.48669697904589,0.285692782675126,138.5705197,8.14940981191,5.05543322542376,1.00939552012953,0.301460552021232,112.276247,1.37400014505,-8.17847708648404,1.38570371238426,0.310644632560609,100,0.00123803203492,-20.6004810435091,1.26360224319893,0.328443265210486,100,0,-26.5991070268029,1.21265092641235,0.354274482541998,100.1256864,0.0748443849092,-19.5295597517117,0.355003922598082,0.367362671235798,107.8755373,1.46340899754,-12.5116158329638,0.839984945378486,0.347745607114882,85.17054684,11.5145556009,5.46817309946336,1.68763720041703,0.291396348235103,98.52607841,51.7937554123,12.5570218747766,1.4
"942",2006,2.30901606012723,0.231714740665686,95.49941796,85.0308133681,21.8552611656066,3.30951845651802,0.234349538191411,104.1252179,110.740607905,23.2127761100815,4.47440772159409,0.235085548052651,97.96441122,66.6006358285,21.8622085387632,2.6598026850757,0.222843713851815,98.99338901,19.3854298032,15.5376533179412,2.25615230108775,0.264194417396844,130.5356521,7.40010226183,3.48631752578292,2.01665952304483,0.293392709128834,111.4127721,1.36738086258,-13.1085907192244,0.511466737165307,0.302752908710428,100,0.00131112491881,-16.6314850483348,1.35596289529309,0.324115493058511,100,7.16151117434e-06,-19.0837535191816,0.284989720096266,0.329003202931373,100.1064305,0.0806270209955,-19.5855968121139,0.226425069421399,0.339884790044008,104.8713715,1.46575263049,-8.78968011669586,0.615590039811264,0.333934321081443,76.97344781,9.14044348624,7.23543746044374,1.79076795473485,0.239775148973423,87.13404736,46.979770095,14.9215688849503,1.8
"1110",2007,2.99410999392579,0.251028571058998,103.5867625,91.5946284574,19.6764632131083,2.74448008005095,0.227329098666259,99.45850116,106.485416662,23.5380089028662,4.48589957971183,0.240118386884178,104.4807443,70.0677680161,19.0184686068318,4.94497818653078,0.259032736616152,126.3905991,23.1217152251,13.14486245158,3.20721428675089,0.277925949456823,114.5296268,6.45910617975,6.12177865023029,0.751002119002071,0.284009337809177,104.9908622,1.02450998781,-12.7673056588702,0.491612335181305,0.280561731191162,100,0.000555983351646,-23.6024656226242,1.82742305116719,0.330123966009234,100,0,-21.3435104538185,0.404330377296295,0.329802787241825,100.3000249,0.07733545405,-23.5755131426711,0.806227868729167,0.351218206389783,106.335263,1.41684814845,-11.2674269103779,0.549972402433947,0.35645280221147,97.03620484,14.6636986181,1.83933368581102,2.04449457990261,0.261236097587601,90.79387692,49.7179934446,14.1378979898363,1.6
"1278",2008,2.16865288145161,0.222335890587821,100.1008076,89.0615993405,21.1083783893745,3.95735237856312,0.256179303675194,100.4810576,107.600585471,22.0331593769462,4.45518268237105,0.243950951361075,101.9847397,70.0813119115,22.7967081270569,4.07173998927808,0.260091287071612,130.8268133,25.9701699188,13.1753189411012,2.28590774549941,0.267726561899599,115.740084,7.29214975607,6.66417378915694,1.36536525607578,0.280602620840606,105.2802253,0.956067766538,-9.9250442008037,1.38827754788322,0.280051124044456,100,0.00109798470529,-27.432145258401,0.93043248399148,0.2858334407337,100,0,-23.0203376631054,0.39120383117827,0.288454843431571,100.1560413,0.0795089158541,-23.608616476268,0.245228988766331,0.313666676590998,116.9214704,1.79688544742,-13.7437929051011,0.505288183755716,0.343719915521044,119.6613138,18.3022568082,0.765009258898554,0.512326305361292,0.242326203787774,113.7185027,58.3242873216,12.8232285920735,2.1
"1446",2009,2.93762464017075,0.24632815518219,105.1066875,90.339096531,17.9125099624342,4.3312426272948,0.26523757403431,108.8820396,116.482180796,20.0034482852559,3.22489095670921,0.258616085861495,95.05182319,65.4661402615,19.1536378215226,3.30254406599621,0.238561994257802,109.3165528,21.9404361201,18.8144373250338,1.22926202480849,0.26438868953912,135.1128013,8.54983400072,1.30140496675273,0.759889561962303,0.294759192116115,113.5105277,1.42954982741,-3.33343450123844,0.293187939429156,0.289507990481915,100,0.000428099223533,-23.52864521133,0.502945341653932,0.277611116791678,100,0,-24.1208671198052,0.590486075191513,0.291868358845494,100.277768,0.0832421093219,-20.739127793964,0.863872916596222,0.310515068454421,115.9093056,1.80337070733,-13.2497823972206,0.486741021617939,0.364591712221214,128.4558618,19.9456182123,0.174501560218799,1.04202735497731,0.288227980482169,114.5918026,60.294918078,8.62016585339843,2.2
