"","Year","Rainfall.6","Soil_Moisture.6","ET_Anomaly.6","ET.6","Temp.6","Rainfall.7","Soil_Moisture.7","ET_Anomaly.7","ET.7","Temp.7","Rainfall.8","Soil_Moisture.8","ET_Anomaly.8","ET.8","Temp.8","Rainfall.9","Soil_Moisture.9","ET_Anomaly.9","ET.9","Temp.9","Rainfall.10","Soil_Moisture.10","ET_Anomaly.10","ET.10","Temp.10","Rainfall.11","Soil_Moisture.11","ET_Anomaly.11","ET.11","Temp.11","Rainfall.12","Soil_Moisture.12","ET_Anomaly.12","ET.12","Temp.12","Rainfall.1","Soil_Moisture.1","ET_Anomaly.1","ET.1","Temp.1","Rainfall.2","Soil_Moisture.2","ET_Anomaly.2","ET.2","Temp.2","Rainfall.3","Soil_Moisture.3","ET_Anomaly.3","ET.3","Temp.3","Rainfall.4","Soil_Moisture.4","ET_Anomaly.4","ET.4","Temp.4","Rainfall.5","Soil_Moisture.5","ET_Anomaly.5","ET.5","Temp.5","Yield"
"10",2000,3.364117906827,0.27258273565359,NA,NA,17.2671667168906,2.40448156990111,0.264549921110664,NA,NA,22.8100296463784,4.27984130610488,0.275263967412077,NA,NA,21.4346354498533,3.67403652806887,0.279899922114467,NA,NA,14.1954441640793,1.96603606222719,0.26730674245995,NA,NA,8.67263185543302,2.66485304024018,0.286111115802411,NA,NA,-3.28881757016634,1.85914739149057,0.285988025793702,NA,NA,-21.4417536845177,NA,0.361790986752662,NA,NA,NA,NA,0.368881932776762,NA,NA,-1.26309994651225,NA,0.402365643281181,NA,NA,-0.235615838833083,NA,0.339501486649447,NA,NA,2.26648792856456,NA,0.270140750964697,NA,NA,15.4077945161107,2.1
"108",2001,3.53601575826986,0.264546067344419,NA,NA,21.93640323989,2.53844491839307,0.250774014255287,NA,NA,23.5122468967222,4.39140394527322,0.251764414229484,NA,NA,22.8173502356661,3.63862727890204,0.269846186215311,NA,NA,16.5231013852357,4.97858121888852,0.278331525796585,NA,NA,7.13539516254276,2.09882715259395,0.328347293002687,NA,NA,1.83391032025092,2.22369434834981,0.375573586991963,NA,NA,-12.0902944020397,0.906478480120922,0.293492883862041,NA,NA,-17.2616856963312,0.689498257981898,0.295602486883687,NA,NA,-18.6716586812179,0.828625066134363,0.318060949263407,NA,NA,-6.43153795700516,1.14982302064323,0.382703978910096,NA,NA,4.84387602864279,3.40700402403114,0.243721772049024,NA,NA,18.2451744442026,2.2
"276",2002,3.52458857555032,0.264984016839098,NA,NA,21.231582086072,2.83816293728697,0.251314931539592,NA,NA,24.3616852510947,3.05439845405652,0.261599273773794,NA,NA,21.6262738036271,5.02799064476156,0.268173932315151,NA,NA,17.2936454757289,2.70226015158277,0.289766513843635,NA,NA,3.7095631307062,1.68571734337921,0.314671023493168,NA,NA,-10.0982346905053,1.59493736657331,0.347961125402086,NA,NA,-15.2947866779495,5.4822747754777,0.402989927627674,NA,NA,-20.8397101256567,1.21816299192539,0.409853797178921,NA,NA,-16.5648731798456,0.67884615153259,0.411486143387097,NA,NA,-12.0976651497706,1.24709548216801,0.397027239753125,NA,NA,1.72957214317879,1.96701704427748,0.313153796072943,NA,NA,11.6612264131243,1.8
"444",2003,2.06593195340729,0.23431649721547,96.40345562,84.1919661051,22.1884274887004,3.80920600205715,0.264773813905298,100.7000779,106.764672973,22.6785256020903,3.81885720438355,0.255164614601127,89.1265841,66.5425715862,22.6811921363871,5.79248074041713,0.271317153808788,73.27558824,19.9688123806,16.4211446660984,2.56137011687389,0.278210172764922,110.9454426,6.92978528582,6.21697773227535,2.24978607993482,0.317079666370028,126.1862689,3.41656792596,-6.16690791533031,1.75125110405233,0.354961541489869,101.7349931,0.529309204985,-12.7041631684572,1.49303771265829,0.366556562003863,100.63302,0.267884727312,-21.1108038669593,0.945290393689712,0.368021835120522,101.9377094,0.494817935536,-21.3511841265174,0.668611513390973,0.384518283991679,107.4222568,4.6531190544,-10.7423288736879,0.846778002016876,0.379315563356122,119.0323797,26.3788770539,1.41388716926168,1.57184675001413,0.26026779183301,96.12209827,56.6647200543,16.6703288701953,2
"612",2004,2.27503757102184,0.262907278169685,100.432167,88.0374527081,18.4639126265959,3.07887037558155,0.271490639242337,99.14659351,104.693981272,22.0123008004203,3.34799920958794,0.272087550674977,102.8140544,77.1346585444,18.529308551483,6.7857315374764,0.291049626898806,103.0654785,28.7261966793,17.4895365671512,4.52294936650173,0.289551442025167,109.3772048,7.95622124125,8.50079567702119,1.60521866381569,0.299832910354853,114.1772922,2.794951599,-2.4368741012942,1.79522396954522,0.314118472946098,101.9131988,0.521739198489,-22.173113344025,5.36311164221091,0.376854350335765,100.678697,0.260838170825,-25.5647817524616,0.414323172974258,0.380080366001196,101.1315122,0.394933639901,-14.1772818303338,1.14142907130462,0.410935503097689,109.9133552,4.2734575669,-8.11247795507663,0.899376357824444,0.39328401525034,127.0026678,28.6760407935,1.3876750986462,2.94451420589954,0.312286208889728,120.8103335,70.5437228631,10.5511719944094,2.1
"780",2005,3.87580871198307,0.265237754459497,95.06769586,83.2316230863,22.882385443873,3.18968286077242,0.253090243174027,96.21225587,102.020166171,23.796752947751,3.67004154008785,0.24848862252157,100.8617688,75.0277276099,21.2807899625066,5.23708062264145,0.261658445712673,95.14019092,25.7898405883,17.5567434587231,3.54732887805862,0.276424691106463,93.82834158,7.2233551465,9.37156040886188,3.13716155901538,0.317603698048454,113.8029249,2.58262374992,-5.61074564880884,2.94186539285719,0.350559503387774,102.283334,0.507128484569,-17.6121729538732,1.7663926001695,0.325803681783248,100.7469436,0.266756599453,-22.2405954526621,1.2645718893836,0.34848708233111,103.2206966,0.498499879929,-15.3489611587762,0.418756228863066,0.357130442971001,108.8625262,4.42932835861,-8.59493397191925,0.951790220845201,0.325145983196264,79.40940132,17.7628567157,7.50188062399503,1.91957580426373,0.252845533915203,83.62444618,51.6075781622,16.4945338773689,1.4
"948",2006,2.25734657276378,0.252408382070696,99.42715832,86.7378865685,21.0991901739719,3.94910277997422,0.258891930181768,100.7402855,105.970135752,23.1208568468334,3.05326833837685,0.250382793118351,102.4912114,76.3452942841,21.1195294681142,3.50338454088573,0.245538703727837,102.3171898,28.4308024874,15.8510047977228,3.67210644695604,0.281898149504524,123.2859508,8.88240424527,5.87795932030353,2.1284497645598,0.335432051117755,124.4795965,2.75753110198,-4.49339643283565,1.41910009553636,0.370061343172147,100.4595441,0.458491872479,-11.9585987766248,1.63829652406753,0.372657700188089,101.4577729,0.220322695314,-16.0258713736742,1.32714787189562,0.391315884580004,102.9818864,0.512240813366,-17.1621381208433,0.585399643921979,0.397531645025856,94.52447483,3.37603185515,-4.78110950303175,0.790611520903853,0.346597587077056,71.69429271,14.5417822921,8.07128611204629,3.69854342968777,0.254961404686089,80.71169183,49.2689203411,17.540400409579,2.3
"1116",2007,3.80259266576295,0.264381301291003,97.38667524,85.7189529023,21.3612287272708,3.34100853572561,0.26018150231279,101.9171182,108.00011072,22.1617678514665,4.25921881488058,0.250510483737591,98.49476618,73.5604347914,20.4475986869781,7.370339721413,0.27325325806929,94.36673879,25.1686358377,16.7925755004118,5.4507985177131,0.28749694754158,106.4270674,7.86130420115,8.74649799281302,1.62731264392642,0.30132666843827,112.5153044,2.36575381456,-6.96141445568845,1.45549841781962,0.326548014250438,101.756076,0.527491876186,-20.1145195587979,2.12700917868476,0.395875086740173,101.2508646,0.232059047534,-18.4106195278624,0.618307417666007,0.394928883187777,101.59053,0.477255174465,-19.5731732373137,0.507200160294945,0.411930527658077,97.5876808,3.39336436083,-8.57080990585879,1.25679138820897,0.36283382901975,93.59715789,21.6041716181,3.48727887020975,3.65718987707265,0.24412403198903,86.8895555,52.5057986052,17.456310015409,1.9
"1284",2008,3.53592266142653,0.274238640670233,106.394953,92.9542023257,20.2639051934488,3.97896527977143,0.281464873589894,103.0597014,108.97492976,21.5147792335837,3.04056950205163,0.257805086999046,106.7446681,79.4263309194,21.6387757252755,5.07987059519716,0.274178128434816,97.58988033,26.5569059936,15.5467353001808,2.93144016506861,0.280531545243683,149.1025914,11.0398934976,7.10240155176785,2.61133905803261,0.300980800546841,110.2448557,1.65027690374,-3.27073154028392,2.74245925570516,0.320227213997102,101.5739238,0.515474439386,-22.4490421222322,3.11945980422566,0.360739432936835,101.4018024,0.283604950944,-18.3473438765546,1.02259201825184,0.375972492501958,102.721006,0.515781391657,-18.666783628634,0.514505381629924,0.384300340156088,125.3821134,5.0787073075,-10.883926150242,1.32124921120814,0.364622710721873,112.7106913,26.2702439595,3.31432471359863,2.01577085399019,0.270731118184894,115.4091818,67.6994487463,12.1784173885172,2.2
"1452",2009,3.67928673859514,0.255253093432827,96.80087017,85.2494631425,19.8779935026248,3.79697647853203,0.281427381896264,108.851866,115.403846954,19.6007386529672,4.62329973595299,0.289042434978652,97.42687819,72.6729811565,19.2687675686984,2.05822170657236,0.25951397588479,116.8341601,32.0054389702,18.209011059792,2.27114222324906,0.275718977157568,157.388101,12.391066585,3.75493300769246,1.06553977069129,0.292089867305212,126.6314685,3.35161250859,1.17680462345789,1.18982447549575,0.284461101543404,101.7626092,0.539998986712,-17.1148930000595,1.00360702527517,0.333697746971639,100.5599594,0.260661627959,-23.1718835344526,0.725397892691905,0.346292587102645,102.2858018,0.48915834857,-17.2359588211578,1.16333179405809,0.369842567433229,113.0970929,4.2555994693,-8.66076989270652,1.21957500539327,0.380935909300324,115.5793424,26.9002318618,3.15691069393599,2.64389559538404,0.271447477401985,117.0711854,68.9592826906,13.1452117918941,2.2
"1620",2010,2.46904969193054,0.253626990687155,104.9321292,91.9905312721,20.2445364038027,4.40748300010073,0.26807418789132,98.29320134,104.368335229,23.0789781305199,4.23912599636882,0.25979963521169,95.96510939,71.799818679,21.8606611173893,6.63728283068366,0.281020767316795,120.557349,32.4415546317,13.5236795588347,2.31484549025762,0.271763548114685,120.5173796,9.25876265941,8.64754919312717,2.62804583116251,0.290446132856067,110.5797023,2.5170382813,-2.24352872985203,1.25052230007313,0.324482648989121,98.54979333,0.399735638798,-15.3536918895579,1.97324904010744,0.297620636307264,102.3204451,0.313783565696,-17.578270124672,0.670747424958998,0.314618314034176,100.5760304,0.407791529485,-12.8854149554621,0.401003127023402,0.356083971064933,87.3607119,1.86964084689,0.0716213183394623,0.715766782979878,0.252110094384583,67.82549581,14.9729199061,11.0366400325298,3.53004731473783,0.228344765388262,88.27660871,53.6218168427,18.0955831251969,2.3
