"","Year","Rainfall.6","Soil_Moisture.6","ET_Anomaly.6","ET.6","Temp.6","Rainfall.7","Soil_Moisture.7","ET_Anomaly.7","ET.7","Temp.7","Rainfall.8","Soil_Moisture.8","ET_Anomaly.8","ET.8","Temp.8","Rainfall.9","Soil_Moisture.9","ET_Anomaly.9","ET.9","Temp.9","Rainfall.10","Soil_Moisture.10","ET_Anomaly.10","ET.10","Temp.10","Rainfall.11","Soil_Moisture.11","ET_Anomaly.11","ET.11","Temp.11","Rainfall.12","Soil_Moisture.12","ET_Anomaly.12","ET.12","Temp.12","Rainfall.1","Soil_Moisture.1","ET_Anomaly.1","ET.1","Temp.1","Rainfall.2","Soil_Moisture.2","ET_Anomaly.2","ET.2","Temp.2","Rainfall.3","Soil_Moisture.3","ET_Anomaly.3","ET.3","Temp.3","Rainfall.4","Soil_Moisture.4","ET_Anomaly.4","ET.4","Temp.4","Rainfall.5","Soil_Moisture.5","ET_Anomaly.5","ET.5","Temp.5","Yield"
"12",2000,2.16777875051827,0.272874346698873,NA,NA,14.4954330093292,2.74315831186825,0.238719279582276,NA,NA,22.0950402036654,3.2950312370481,0.245230050623023,NA,NA,19.5040053472443,4.77365757088258,0.272724776140388,NA,NA,9.5307346200278,2.72888221688964,0.280297468301344,NA,NA,3.32970527212505,2.43091056294928,0.327452442782823,NA,NA,-6.63781408272388,2.35380642270869,0.349206653640334,NA,NA,-18.7314077212435,NA,0.393111458817433,NA,NA,NA,NA,0.395069660984129,NA,NA,-11.1451860489475,NA,0.404176341006803,NA,NA,-8.64330632545771,NA,0.393323670212672,NA,NA,-4.65577218458491,NA,0.338281952649106,NA,NA,6.26474230584721,2.1
"110",2001,2.51095796763784,0.240433698135413,NA,NA,18.696429645782,2.60037493676453,0.234220301060993,NA,NA,21.446101409862,3.37721080395817,0.23514171227743,NA,NA,19.0260022062174,4.19549748870531,0.268316747800742,NA,NA,12.4591507888858,4.53640749515926,0.269723650613461,NA,NA,3.33748177802944,3.66545023492954,0.301154361160914,NA,NA,-9.77686024691012,2.27762188036297,0.336306273680765,NA,NA,-13.2148606374446,0.733801135020348,0.361461608484731,NA,NA,-23.6885216465762,0.358907253188222,0.361625769142656,NA,NA,-21.6213624239846,1.00045401653642,0.372119089540599,NA,NA,-8.82135832157555,0.812156604780914,0.393182202310481,NA,NA,-2.39741498448563,1.08359325454909,0.294074621998483,NA,NA,15.516071492457,2.2
"278",2002,2.08686514149821,0.270190338120288,NA,NA,17.1010396720109,2.86866137080981,0.236371441037243,NA,NA,20.9744840537154,3.51697159424758,0.248775435355748,NA,NA,18.9170160337227,6.25630458063078,0.268902444970051,NA,NA,12.7167871054919,5.74794436891376,0.303062439641431,NA,NA,0.959345722626599,2.42248133926633,0.355756864788149,NA,NA,-12.6368172658333,1.47670066229378,0.382830566259739,NA,NA,-18.2791160615591,0.618834668073927,0.342276850209975,NA,NA,-24.8687337086793,0.586623745357302,0.346560387907166,NA,NA,-22.9316327822411,0.962554857810867,0.360597761825562,NA,NA,-15.4420293108557,0.805976512617412,0.365723762298659,NA,NA,-4.9495091186561,1.06049993623526,0.331194112119288,NA,NA,5.62152226872834,2.2
"446",2003,2.0082473215127,0.234209463753497,98.14338542,60.3745694605,19.1942720070324,3.44552935737512,0.251000570204889,97.88740328,71.0043930589,20.4709139783299,4.13029542164972,0.24580088894973,98.20165308,46.3370107772,20.3289243209336,5.6513311327246,0.269310017843915,97.96527318,15.5501378198,14.7346032627062,4.6767283516606,0.283873391697591,110.0795482,4.33288417175,2.75592639174641,4.43219997941426,0.325662896028338,109.8097567,2.07910742286,-7.45808858073632,2.7014922247293,0.382117236935346,100.7468537,0.257108203912,-16.4432710069853,1.0693700286257,0.390994235886482,100.5964604,0.0888572472183,-22.4296322861297,0.944052608743598,0.39033008146162,101.8269605,0.309191722705,-24.1451193270333,0.58759539980156,0.392859312168109,102.6083808,2.12554449112,-16.0866278788646,0.668617170417715,0.388456764444857,113.4707064,12.7443693373,-5.80949121511433,1.07997229361673,0.306936577505071,99.08527592,35.7391647441,11.4747653906741,2.2
"614",2004,2.0885075626121,0.29177605289673,117.5290491,70.2166753937,14.6489585307314,3.12585209636744,0.243287799270617,98.54594357,72.40847312,21.4658555815762,3.73447768075109,0.261085721248357,111.9568518,52.5191257363,17.2552361618458,5.60111363270143,0.274240837901122,114.3795525,20.0908277249,12.3427143987057,4.35854741964418,0.276407500128464,125.9153016,5.79335036952,4.68904661412056,2.62002299580678,0.300122782151166,113.0783037,2.16681952363,-8.41925844421472,2.15639599710903,0.333033638875925,101.0727142,0.268828911742,-23.8232471525976,2.31296437344306,0.390805177935874,100.8960766,0.099012103218,-24.6998171411546,0.392607929552183,0.390029614198883,102.1430117,0.295909931107,-18.7654877484345,0.896589408359858,0.393441229627104,103.158839,1.98285227393,-12.9706010764435,0.986581576264,0.389991357903395,115.2352054,12.9264798327,-5.42661415616547,1.41966712406803,0.353228492772086,128.5099744,47.904045594,4.84059707107963,2.2
"782",2005,2.44994032402975,0.226724297577217,94.42172403,58.5466752938,20.244185328695,2.81331109994762,0.230861595988311,96.49720646,70.7842401756,21.8057661016241,4.36411344772092,0.250081896037449,101.7628949,48.1677956575,18.8965227278196,7.08525953097495,0.267425424912752,106.6383612,18.6033667387,13.9418342449124,3.59376772354275,0.278146269281396,119.0434865,5.37143380035,6.18228080531958,3.21639797321151,0.304515913147876,115.0153662,2.22774165971,-8.79894265755741,2.72608521673225,0.347351167002469,101.5622006,0.283306370958,-19.856366071769,0.896561086506097,0.348213079016836,100.5136664,0.0858717810319,-26.1498371017377,1.27850471823424,0.353893976680631,101.6261955,0.273836847775,-19.1043699594217,0.734575277582724,0.35683901753847,102.1208516,2.07742465207,-10.7278402698148,1.11710176386206,0.367423999398443,105.1719932,11.8410789231,-1.6136631085653,0.921065832859043,0.308782376065957,106.4927557,36.642713851,11.83348473195,1.9
"950",2006,2.08294201105276,0.237302118314169,92.2781442,58.0690560947,19.1815735446906,3.58595206918692,0.247410775639365,100.1889152,73.2899538102,21.4270983704024,3.41980453790498,0.256715332080197,105.053452,49.0988770758,17.6871818474298,3.78534959097605,0.257029125731228,102.0578782,17.8536784254,12.1318696782325,4.326252968264,0.288388765312681,140.5724059,6.60088952761,3.31136654924177,3.28372109823863,0.320795945403568,113.3264523,2.08142130245,-7.22130674172981,2.07035742918676,0.357315646329323,100.667515,0.243053529763,-16.1840779380176,1.46527806912408,0.361204394389827,100.6635643,0.0884935556853,-21.5099438086211,2.29778381425823,0.373441689301961,101.1648087,0.287904913077,-20.8418546383044,0.961067378758103,0.377590570830314,102.5039109,1.86321855644,-9.55996071115271,1.01402720143335,0.370539695079897,92.82825007,9.21825002083,-0.534136098650345,1.29589359200627,0.292463221900569,85.71416796,28.7213128159,14.6581332693728,2.1
"1118",2007,2.42047000456335,0.250474368837794,102.7484407,63.146658636,18.4517211244021,3.36918995361849,0.247656026410018,101.513187,75.3472728131,19.8625783730095,4.18108892519045,0.252694209970618,113.0557634,52.0044351599,17.1679450189392,7.63309016630012,0.279878539445991,124.7478118,21.033615699,11.3905318598903,5.16968144365384,0.278945109117262,131.316801,6.05277564864,5.15190021503298,5.48005893325587,0.317796164180366,104.7238734,1.97791763416,-10.0487509466562,1.46308211634481,0.339212662289752,101.4794912,0.311587470933,-22.4407043174949,1.48732398369446,0.368738771017621,100.610206,0.0808445191306,-22.5243454252428,1.06830988066958,0.366729570967456,101.4753803,0.289737015515,-20.3882252628305,0.619475520578451,0.37356380860931,108.0768439,2.23572359829,-15.0488702149996,0.897102090692774,0.37944272361651,102.7922265,11.4260210589,-2.93722644607497,1.1186072450281,0.300515475202512,114.690099,39.2844916401,10.8899311405469,2.2
"1286",2008,3.13811550176569,0.238893329817302,91.71723697,57.8343436299,19.6308058986978,3.51050698729276,0.252403174444511,99.62527746,74.8270626471,21.3140292919477,3.5974223294304,0.256124201881492,91.70483743,46.4254470147,20.2635760757277,5.00666325508152,0.269937308283108,101.6829119,16.7330354005,11.5034750676171,5.28765013864476,0.282372261094866,134.1595743,6.60404664402,3.92966452838966,5.04160823663598,0.308070099433099,106.3208179,1.5780043013,-8.88084237234698,2.76464120882125,0.339560355339808,101.6436051,0.287907652176,-21.9330645607211,2.53921279830235,0.366092371921916,100.8382141,0.0937048444879,-25.8365702324738,1.54539913922682,0.37140550241012,102.2626366,0.310251703454,-21.1794235453416,0.831936722554762,0.371889649490534,112.7604371,2.47170903419,-14.8667866886169,1.14171561395656,0.377955241256759,101.2181958,11.4316497053,-1.32922572093511,0.909062607414233,0.283050978218984,106.0987814,38.0294990862,10.7671892351891,1.8
"1454",2009,2.07055158380014,0.252869157736211,100.9549224,61.7384967082,17.7483834862367,3.94096775018906,0.24071314327174,100.1830019,73.2328552032,21.1066498629104,3.94721693524583,0.258412915035008,111.9925423,52.7401897252,17.2217634687813,3.57396921379802,0.256979659389668,118.771239,20.4146810859,12.5688642880301,2.73484898525292,0.270606541075545,140.3106517,7.02625710841,-0.33848685391526,2.32701545751766,0.321664426642932,113.8074772,2.17990369428,-4.66410175293157,2.50562409931884,0.345893827653177,100.7029792,0.246537613491,-16.1414849525766,1.16760289524154,0.365153477202701,100.3955076,0.0873743799554,-24.8096159783603,0.532705232385009,0.365579482002186,101.9884883,0.298749819232,-19.62886643193,1.01938869045904,0.371391865113117,106.2813752,2.05765870202,-13.298215285707,1.10119597984777,0.381605366209447,109.0240696,11.7469871555,-3.98203070572744,1.59734807297257,0.32792046703417,122.9385589,45.2235731055,6.17560381257374,2
