"","Year","Rainfall.6","Soil_Moisture.6","ET_Anomaly.6","ET.6","Temp.6","Rainfall.7","Soil_Moisture.7","ET_Anomaly.7","ET.7","Temp.7","Rainfall.8","Soil_Moisture.8","ET_Anomaly.8","ET.8","Temp.8","Rainfall.9","Soil_Moisture.9","ET_Anomaly.9","ET.9","Temp.9","Rainfall.10","Soil_Moisture.10","ET_Anomaly.10","ET.10","Temp.10","Rainfall.11","Soil_Moisture.11","ET_Anomaly.11","ET.11","Temp.11","Rainfall.12","Soil_Moisture.12","ET_Anomaly.12","ET.12","Temp.12","Rainfall.1","Soil_Moisture.1","ET_Anomaly.1","ET.1","Temp.1","Rainfall.2","Soil_Moisture.2","ET_Anomaly.2","ET.2","Temp.2","Rainfall.3","Soil_Moisture.3","ET_Anomaly.3","ET.3","Temp.3","Rainfall.4","Soil_Moisture.4","ET_Anomaly.4","ET.4","Temp.4","Rainfall.5","Soil_Moisture.5","ET_Anomaly.5","ET.5","Temp.5","Yield"
"13",2000,2.15288133866776,0.216312338333536,NA,NA,20.8110076334104,3.92833557141312,0.219205143841351,NA,NA,25.8192304359453,3.15277315674188,0.205295861189239,NA,NA,23.7164157982401,1.92864152469238,0.212694719209016,NA,NA,17.1071012704407,1.14994881451841,0.207723894517247,NA,NA,9.7982260705505,0.610980530434197,0.241907543759313,NA,NA,-7.91305148295786,1.96337718152025,0.259381341056108,NA,NA,-24.4829131319217,NA,0.235571195449374,NA,NA,NA,NA,0.259116041679852,NA,NA,-4.339557612966,NA,0.321069795960603,NA,NA,-2.43794619091629,NA,0.294118825477119,NA,NA,3.84611422581787,NA,0.224393770027531,NA,NA,19.3065363836862,1.4
"111",2001,2.47610842387525,0.199427652363197,NA,NA,23.6892058798857,3.2710858560126,0.196541297963947,NA,NA,26.1430733089716,1.56771269586679,0.170754289792777,NA,NA,27.2360564768774,2.35745354298573,0.191875383101433,NA,NA,20.0306864927667,0.893788236325606,0.189941350523216,NA,NA,6.79673583148114,0.643979940568237,0.212417665439751,NA,NA,-2.6679873432514,0.294637162646088,0.225916400036048,NA,NA,-15.6561521468868,0.999121857090418,0.278926614360584,NA,NA,-11.7667525403265,0.322011554341072,0.294695660438706,NA,NA,-18.2137709395954,0.253333977712726,0.349155746505505,NA,NA,-2.55804490141027,0.428191318368083,0.333038163751196,NA,NA,6.94767493818239,1.00328373600193,0.200294445141748,NA,NA,20.9722466401379,1.1
"279",2002,2.88405709248603,0.193688424374357,NA,NA,26.0707968260929,3.30261655839145,0.201341982458865,NA,NA,28.0740243038581,2.81306356985193,0.219633609694773,NA,NA,22.1846699156929,2.62184459178856,0.227448903698776,NA,NA,16.7133936797548,0.632865928656463,0.228031738157144,NA,NA,1.38585410445768,1.08673445185918,0.244807107179821,NA,NA,-7.27095441745523,1.30992365435409,0.285029621871122,NA,NA,-11.6406067703883,1.98596190712963,0.253016179908851,NA,NA,-20.8449209896862,0.907736940973268,0.275301721355135,NA,NA,-11.3627918351262,0.50185257147772,0.286617927479603,NA,NA,-17.1198020716917,0.374890353963172,0.307452015693761,NA,NA,2.21742457897808,0.490515232206815,0.225870055003116,NA,NA,16.2516843055448,1
"447",2003,2.21692778240922,0.222458106612183,100.6053621,103.840269346,23.3102779747324,2.50800462268058,0.196070755211869,95.88541297,114.817708413,27.1306372348816,3.41074115939909,0.179174330754264,62.81656057,43.8817798842,27.3831765501833,2.99177276473841,0.212223129148946,90.12040411,13.7879632821,17.6996545912326,1.14522913935071,0.215490129586456,98.99597572,3.96939212939,12.8031031625852,1.23346882125404,0.253460400277512,115.1426263,1.30811496501,-9.75012336929926,1.35595189640321,0.275432848679959,100.3399478,0.0353824163796,-15.7408694374195,1.73305828108399,0.31077094615402,100.1907864,0.0113725557081,-20.4735914017653,0.369022002715375,0.31253279299459,100.2172193,0.0270458770079,-22.4016979029719,0.492565634339016,0.328329094826214,111.4199036,1.19758350361,-8.47718316374307,1.34453338376891,0.316866858774448,94.34292358,12.7334370102,6.54493095867696,1.10548670090179,0.22576705440324,99.68989763,65.6716928879,19.5739034339642,1.2
"615",2004,1.91129058903457,0.231705214430353,101.1525719,104.278711176,21.6794170828308,2.59080991094401,0.202057662924337,95.59926512,114.445918491,25.0056493303742,1.89004820751917,0.209769368316097,113.9152193,81.4057072712,20.2898433555813,2.36749443205477,0.226563136999266,133.1616642,23.4444857035,16.1988041213582,0.829680094933613,0.217295000522806,113.6424677,6.76042176165,7.79344814815973,0.955539488268597,0.245019690344301,146.634057,2.61439032596,-3.2158394754924,1.21375953912969,0.269422928008256,100.0228044,0.0195924528958,-23.1605347669495,1.53743584400223,0.287011860853591,100.3235984,0.013328687487,-24.6658921977492,0.669972239586936,0.306417273379176,100.2134449,0.0255244920542,-13.2207573893045,1.26240079046034,0.369303173633686,119.3035911,1.88840696882,-6.6430533749793,0.532221932925103,0.308667596220339,120.2708872,17.6345230645,7.49895622192675,1.24554017070985,0.259807183824082,124.3609556,81.3606053214,13.5336339098638,1.3
"783",2005,3.62160018000151,0.237325657019445,100.2044119,103.259233877,21.7085212238365,3.45261743488181,0.226287246362681,97.51455855,117.119570372,24.1223458326887,3.35383775618834,0.224076046413655,104.0285781,76.0115347559,21.3412855122853,3.30824363946832,0.234078101199543,135.4538228,24.1387178906,16.8361740315469,1.35780979848397,0.235847803077164,147.5973434,8.95853009786,8.14320789412477,0.885223576235898,0.245908098780909,119.9054374,1.52851157362,-3.51264583860227,0.722887004976909,0.258649979868195,100.0827327,0.0117300371023,-11.9823023735153,1.2650193317478,0.28922854220676,100.0472942,0.00411281027651,-20.9480496148196,1.24951627247434,0.340399940697058,100.0780007,0.0201807003774,-14.327552402086,0.576343406342218,0.347286071970898,113.545996,1.53573365931,-6.82541342380221,0.761640414539957,0.295536599438324,79.15429835,9.32486862874,10.7923235758999,1.48951291976458,0.222659754533788,91.37688225,61.1103785331,17.4692999593335,1.8
"951",2006,2.32719324791431,0.221946037045612,97.75941066,100.562188885,24.0375065253038,2.54687052943183,0.191004005964548,94.0338067,113.023309206,26.727236430505,3.47749167619199,0.187030115863367,81.97863151,60.0108620315,24.5698900106153,3.08435482803642,0.202549349834695,99.63414306,17.403251833,17.9348683655721,1.11712167069191,0.214270762091517,162.8653509,11.2488584462,4.66041272206301,1.26276186882391,0.22600081231021,130.3575604,1.98942253419,-12.3978058952268,0.67716891258584,0.244453892369639,100.1106048,0.0215118406698,-12.8064903978578,0.971496837830302,0.286678714418745,100.0797921,0.00556986460464,-14.0211901801313,0.654764797558105,0.294379576484184,100.149511,0.0278614565575,-15.7380580605833,0.74990430305949,0.314223323142375,118.6100275,1.75110824383,-6.74463354025493,1.08411486937338,0.299437807469181,75.14534359,8.57265795029,11.5226792022126,2.35630877315757,0.219072399857046,85.25589773,57.1234012495,19.2407040669609,1.5
"1119",2007,3.21787016873358,0.215842359680089,101.7047138,105.306455761,22.496516416873,2.77689815383654,0.189922946308103,88.54106436,106.997233211,27.0975031006504,2.99116517837945,0.191337118572117,93.24434892,67.1761465246,22.1597044961726,2.9757536383686,0.214051915759801,110.7103286,18.3408148401,16.5408668515641,1.22340622473415,0.218020032394033,110.2811502,6.3329173973,9.62861991955304,0.49151695245254,0.220131709570315,118.2825388,1.52036848399,-6.73575915248884,0.349552212757795,0.219685552375935,100.1296358,0.0207339208635,-20.1960060484645,1.56480971715987,0.278335310637778,100.2705321,0.0188528796368,-16.7433799341465,0.554538140370785,0.28248849772697,100.2099981,0.023490980377,-20.2797830577462,0.930624551726678,0.313759197421559,109.1861053,1.13186610668,-6.25651934201137,0.55097592994887,0.303034130339825,121.9876099,18.0432742503,5.77873318210551,1.93694297776098,0.226458673672689,97.75449554,65.3819573657,19.0012238459729,1.4
"1287",2008,2.44307777607123,0.193784579137692,92.93850173,96.7850705788,24.0825903363791,3.22322024941925,0.200134688995839,99.57513704,119.199771203,24.6704246557361,3.13647803965658,0.188045437874711,89.0916029,66.1686734121,24.9731530566709,2.03480230710766,0.197643326797219,126.2275395,22.57138805,16.0867571779843,2.18604057987189,0.212488375201368,107.5383027,6.5500310836,9.28852458321993,1.2995019959688,0.238550673639874,119.7663828,1.58782154868,-3.89985585757725,0.720534590506358,0.247852030681061,100.0121089,0.0138386393317,-26.2450014282236,0.798505189864027,0.247474059901005,100.055435,0.00426253351173,-20.2233887090643,0.308893785142448,0.263380038253017,100.216172,0.0221594966827,-19.3469033644718,0.365161326880062,0.323944165423358,118.3241052,1.45686602941,-7.1128842869132,0.533080907448299,0.311194200864285,124.5875977,18.7297703935,4.91186497058003,0.630067166536045,0.211611647871893,99.2533338,66.3620153297,17.5492611349506,1.8
"1455",2009,3.29025034905226,0.207718092882993,101.1458022,104.094005817,23.816841578679,3.57506878257117,0.2145807225294,105.6680432,127.134785366,22.1253480317966,2.39366324293719,0.215848531419305,95.78080407,70.3256003038,21.6800635580872,3.28303870595425,0.19040526671769,91.71820572,16.5312079655,22.9716830367422,1.39554134447034,0.23608931068282,114.174075,6.46565402784,3.94092773980261,0.68367373481558,0.240415622692469,118.9958626,1.55009095,-0.615183747749344,0.486060878316959,0.235269212328748,100.1993876,0.0202037083057,-21.6774462292075,0.53888283210732,0.25595774689128,100.0758632,0.00495906706399,-21.6473191554371,0.375848496033784,0.307167276985108,100.2108474,0.0291500150124,-17.4210110205109,0.37384669124371,0.329178712214241,128.8047762,2.32904061861,-11.1055452970984,0.681363895486907,0.338787643858692,139.2938843,21.9889939686,6.08560165319653,0.717339370908084,0.230498280896929,95.93361758,63.7704605443,15.9003211592915,2
