"Region","month","year","Value"
"Alberta",1,2000,0.240198776625986
"British Columbia",1,2000,0.389141118549935
"Canada",1,2000,0.325268097141886
"Manitoba",1,2000,0.322069777486399
"New Brunswick",1,2000,0.430020556528249
"Newfoundland and Labrador",1,2000,0.406042870731658
"Northwest Territories",1,2000,0.247558818560217
"Nova Scotia",1,2000,0.372791012115198
"Nunavut",1,2000,0.348950607718754
"Ontario",1,2000,0.361790986752662
"Prince Edward Island",1,2000,0.409654071679702
"Québec",1,2000,0.393111458817433
"Saskatchewan",1,2000,0.235571195449374
"Yukon",1,2000,0.237405765837736
"Alberta",2,2000,0.276178580698661
"British Columbia",2,2000,0.391904257968872
"Canada",2,2000,0.330727633271773
"Manitoba",2,2000,0.338490061154595
"New Brunswick",2,2000,0.437054549690113
"Newfoundland and Labrador",2,2000,0.406024892015749
"Northwest Territories",2,2000,0.248472445966766
"Nova Scotia",2,2000,0.417680967006867
"Nunavut",2,2000,0.348442451543351
"Ontario",2,2000,0.368881932776762
"Prince Edward Island",2,2000,0.430665776553646
"Québec",2,2000,0.395069660984129
"Saskatchewan",2,2000,0.259116041679852
"Yukon",2,2000,0.23737843804798
"Alberta",3,2000,0.355333134271063
"British Columbia",3,2000,0.402281882524603
"Canada",3,2000,0.34584241542508
"Manitoba",3,2000,0.376838536598264
"New Brunswick",3,2000,0.426364314294108
"Newfoundland and Labrador",3,2000,0.412542063796011
"Northwest Territories",3,2000,0.252467398593508
"Nova Scotia",3,2000,0.33809995879587
"Nunavut",3,2000,0.348032478445873
"Ontario",3,2000,0.402365643281181
"Prince Edward Island",3,2000,0.351419087380934
"Québec",3,2000,0.404176341006803
"Saskatchewan",3,2000,0.321069795960603
"Yukon",3,2000,0.240553836981991
"Alberta",4,2000,0.305785733620062
"British Columbia",4,2000,0.39547929503116
"Canada",4,2000,0.338374989828359
"Manitoba",4,2000,0.346352148099393
"New Brunswick",4,2000,0.335414218678387
"Newfoundland and Labrador",4,2000,0.40334643306762
"Northwest Territories",4,2000,0.277589027473147
"Nova Scotia",4,2000,0.296822752565933
"Nunavut",4,2000,0.348032312286031
"Ontario",4,2000,0.339501486649447
"Prince Edward Island",4,2000,0.290530062459081
"Québec",4,2000,0.393323670212672
"Saskatchewan",4,2000,0.294118825477119
"Yukon",4,2000,0.282362866103982
"Alberta",5,2000,0.248925648819805
"British Columbia",5,2000,0.350444365622312
"Canada",5,2000,0.313948405498222
"Manitoba",5,2000,0.292859045217847
"New Brunswick",5,2000,0.290807958161857
"Newfoundland and Labrador",5,2000,0.38028281327129
"Northwest Territories",5,2000,0.267191197273061
"Nova Scotia",5,2000,0.290275008407643
"Nunavut",5,2000,0.352508116577928
"Ontario",5,2000,0.270140750964697
"Prince Edward Island",5,2000,0.286013681420174
"Québec",5,2000,0.338281952649106
"Saskatchewan",5,2000,0.224393770027531
"Yukon",5,2000,0.332770744544257
"Alberta",6,2000,0.230218944121153
"British Columbia",6,2000,0.30097606358241
"Canada",6,2000,0.281598948428279
"Manitoba",6,2000,0.254958864660662
"New Brunswick",6,2000,0.272301643096865
"Newfoundland and Labrador",6,2000,0.285035309391581
"Northwest Territories",6,2000,0.216942224724058
"Nova Scotia",6,2000,0.273737713609289
"Nunavut",6,2000,0.347409989089487
"Ontario",6,2000,0.27258273565359
"Prince Edward Island",6,2000,0.271627324948336
"Québec",6,2000,0.272874346698873
"Saskatchewan",6,2000,0.216312338333536
"Yukon",6,2000,0.255831751134459
"Alberta",7,2000,0.224520597533773
"British Columbia",7,2000,0.280091960231849
"Canada",7,2000,0.266585408332863
"Manitoba",7,2000,0.259079593678551
"New Brunswick",7,2000,0.272535082954179
"Newfoundland and Labrador",7,2000,0.255722572568122
"Northwest Territories",7,2000,0.214351498821034
"Nova Scotia",7,2000,0.265967819231497
"Nunavut",7,2000,0.323487012801246
"Ontario",7,2000,0.264549921110664
"Prince Edward Island",7,2000,0.258140050419732
"Québec",7,2000,0.238719279582276
"Saskatchewan",7,2000,0.219205143841351
"Yukon",7,2000,0.256841498814299
"Alberta",8,2000,0.209372588486719
"British Columbia",8,2000,0.273197834664577
"Canada",8,2000,0.274346003735019
"Manitoba",8,2000,0.250045608937354
"New Brunswick",8,2000,0.259933064526841
"Newfoundland and Labrador",8,2000,0.247998560337678
"Northwest Territories",8,2000,0.242439597856578
"Nova Scotia",8,2000,0.255321431643917
"Nunavut",8,2000,0.336691487317723
"Ontario",8,2000,0.275263967412077
"Prince Edward Island",8,2000,0.232968954565115
"Québec",8,2000,0.245230050623023
"Saskatchewan",8,2000,0.205295861189239
"Yukon",8,2000,0.272262436691832
"Alberta",9,2000,0.227107404581675
"British Columbia",9,2000,0.288640605034932
"Canada",9,2000,0.293832261556888
"Manitoba",9,2000,0.268692423151808
"New Brunswick",9,2000,0.251837878448002
"Newfoundland and Labrador",9,2000,0.263150162034091
"Northwest Territories",9,2000,0.241442358979842
"Nova Scotia",9,2000,0.252074668529929
"Nunavut",9,2000,0.372320965224922
"Ontario",9,2000,0.279899922114467
"Prince Edward Island",9,2000,0.222186464143606
"Québec",9,2000,0.272724776140388
"Saskatchewan",9,2000,0.212694719209016
"Yukon",9,2000,0.292267731792086
"Alberta",10,2000,0.2169802041369
"British Columbia",10,2000,0.309890698998769
"Canada",10,2000,0.303980358077053
"Manitoba",10,2000,0.262461361456459
"New Brunswick",10,2000,0.273978187989701
"Newfoundland and Labrador",10,2000,0.280445992905667
"Northwest Territories",10,2000,0.277090028659332
"Nova Scotia",10,2000,0.29307604607339
"Nunavut",10,2000,0.370884431449084
"Ontario",10,2000,0.26730674245995
"Prince Edward Island",10,2000,0.279138019735316
"Québec",10,2000,0.280297468301344
"Saskatchewan",10,2000,0.207723894517247
"Yukon",10,2000,0.359470494770719
"Alberta",11,2000,0.234880430938747
"British Columbia",11,2000,0.354592182874039
"Canada",11,2000,0.325364868015756
"Manitoba",11,2000,0.303085047827521
"New Brunswick",11,2000,0.296461432720991
"Newfoundland and Labrador",11,2000,0.341705547003641
"Northwest Territories",11,2000,0.288013253482894
"Nova Scotia",11,2000,0.309236194647038
"Nunavut",11,2000,0.372252876727995
"Ontario",11,2000,0.286111115802411
"Prince Edward Island",11,2000,0.310442515111208
"Québec",11,2000,0.327452442782823
"Saskatchewan",11,2000,0.241907543759313
"Yukon",11,2000,0.378642640159238
"Alberta",12,2000,0.266857821083076
"British Columbia",12,2000,0.390435774634518
"Canada",12,2000,0.336252473403493
"Manitoba",12,2000,0.309965295796256
"New Brunswick",12,2000,0.380809587361425
"Newfoundland and Labrador",12,2000,0.371437702660531
"Northwest Territories",12,2000,0.289607122857869
"Nova Scotia",12,2000,0.342514424639361
"Nunavut",12,2000,0.372213406110471
"Ontario",12,2000,0.285988025793702
"Prince Edward Island",12,2000,0.33547326493737
"Québec",12,2000,0.349206653640334
"Saskatchewan",12,2000,0.259381341056108
"Yukon",12,2000,0.384367899368717
"Alberta",1,2001,0.296717356708681
"British Columbia",1,2001,0.398999993997153
"Canada",1,2001,0.343321949206222
"Manitoba",1,2001,0.313489266021316
"New Brunswick",1,2001,0.433208976103625
"Newfoundland and Labrador",1,2001,0.392897000490609
"Northwest Territories",1,2001,0.289557662336531
"Nova Scotia",1,2001,0.414492472904952
"Nunavut",1,2001,0.37215394751282
"Ontario",1,2001,0.293492883862041
"Prince Edward Island",1,2001,0.427783487969334
"Québec",1,2001,0.361461608484731
"Saskatchewan",1,2001,0.278926614360584
"Yukon",1,2001,0.385298059808456
"Alberta",2,2001,0.321025078911302
"British Columbia",2,2001,0.403962638254142
"Canada",2,2001,0.346381215438302
"Manitoba",2,2001,0.315560183601152
"New Brunswick",2,2001,0.434914107100304
"Newfoundland and Labrador",2,2001,0.393055919727065
"Northwest Territories",2,2001,0.289804473821485
"Nova Scotia",2,2001,0.429059422002186
"Nunavut",2,2001,0.372068680700044
"Ontario",2,2001,0.295602486883687
"Prince Edward Island",2,2001,0.435875558260152
"Québec",2,2001,0.361625769142656
"Saskatchewan",2,2001,0.294695660438706
"Yukon",2,2001,0.38540352787677
"Alberta",3,2001,0.357154030030495
"British Columbia",3,2001,0.415737354254917
"Canada",3,2001,0.357946082242917
"Manitoba",3,2001,0.344426497278919
"New Brunswick",3,2001,0.43721741254081
"Newfoundland and Labrador",3,2001,0.397106352958424
"Northwest Territories",3,2001,0.29473439434407
"Nova Scotia",3,2001,0.425100861323458
"Nunavut",3,2001,0.371967083216597
"Ontario",3,2001,0.318060949263407
"Prince Edward Island",3,2001,0.43863457856362
"Québec",3,2001,0.372119089540599
"Saskatchewan",3,2001,0.349155746505505
"Yukon",3,2001,0.386746189383631
"Alberta",4,2001,0.32080130509606
"British Columbia",4,2001,0.408526333022871
