"Region","End.Date","Value","year"
"Canada",1943-12-31,0.77,1943
"Canada",1944-12-31,0.65,1944
"Canada",1945-12-31,0.76,1945
"Canada",1946-12-31,0.62,1946
"Canada",1947-12-31,0.42,1947
"Canada",1948-12-31,0.895,1948
"Canada",1949-12-31,0.95,1949
"Canada",1950-12-31,0.25,1950
"Canada",1951-12-31,1.04,1951
"Canada",1952-12-31,0.855,1952
"Canada",1953-12-31,0.935,1953
"Canada",1954-12-31,0.815,1954
"Canada",1955-12-31,0.635,1955
"Canada",1956-12-31,0.955,1956
"Canada",1957-12-31,0.785,1957
"Canada",1958-12-31,0.695,1958
"Canada",1959-12-31,0.935,1959
"Canada",1960-12-31,0.815,1960
"Canada",1961-12-31,0.885,1961
"Canada",1962-12-31,0.885,1962
"Canada",1963-12-31,0.98,1963
"Canada",1964-12-31,0.935,1964
"Canada",1965-12-31,0.885,1965
"Canada",1966-12-31,0.95,1966
"Canada",1967-12-31,0.85,1967
"Canada",1968-12-31,1.035,1968
"Canada",1969-12-31,0.93,1969
"Canada",1970-12-31,1,1970
"Canada",1971-12-31,1,1971
"Canada",1972-12-31,0.98,1972
"Canada",1973-12-31,0.945,1973
"Canada",1974-12-31,0.91,1974
"Canada",1975-12-31,1.005,1975
"Canada",1976-12-31,1.165,1976
"Canada",1977-12-31,1.36,1977
"Canada",1978-12-31,1.24,1978
"Canada",1979-12-31,1,1979
"Canada",1980-12-31,1.195,1980
"Canada",1981-12-31,1.32,1981
"Canada",1982-12-31,1.25,1982
"Canada",1983-12-31,1.12,1983
"Canada",1984-12-31,1.11,1984
"Canada",1985-12-31,1.26,1985
"Canada",1986-12-31,1.4,1986
"Canada",1987-12-31,1.4,1987
"Canada",1988-12-31,1.1,1988
"Canada",1989-12-31,1.1,1989
"Canada",1990-12-31,1.3,1990
"Canada",1991-12-31,1.3,1991
"Canada",1992-12-31,1.3,1992
"Canada",1993-12-31,1.3,1993
"Canada",1994-12-31,1.3,1994
"Canada",1995-12-31,1.2,1995
"Canada",1996-12-31,1.5,1996
"Canada",1997-12-31,1.3,1997
"Canada",1998-12-31,1.4,1998
"Canada",1999-12-31,1.6,1999
"Canada",2000-12-31,1.5,2000
"Canada",2001-12-31,1.3,2001
"Canada",2002-12-31,1.2,2002
"Canada",2003-12-31,1.4,2003
"Canada",2004-12-31,1.6,2004
"Canada",2005-12-31,1.8,2005
"Canada",2006-12-31,1.7,2006
"Canada",2007-12-31,1.5,2007
"Canada",2008-12-31,1.9,2008
"Canada",2009-12-31,2,2009
"Canada",2010-12-31,1.9,2010
"Canada",2011-12-31,1.9,2011
"Canada",2012-12-31,1.6,2012
"Canada",2013-12-31,2.3,2013
"Canada",2014-12-31,2,2014
"Canada",2015-12-31,2.2,2015
"Canada",2016-12-31,2.4,2016
"Canada",2017-12-31,2.3,2017
"Canada",2018-12-31,2.272,2018
"Canada",2019-12-31,2.319,2019
"Canada",2020-12-31,2.25,2020
"Alberta",1955-12-31,0.625,1955
"Alberta",1956-12-31,1.01,1956
"Alberta",1957-12-31,0.83,1957
"Alberta",1958-12-31,0.73,1958
"Alberta",1959-12-31,0.89,1959
"Alberta",1960-12-31,0.825,1960
"Alberta",1961-12-31,0.96,1961
"Alberta",1962-12-31,0.865,1962
"Alberta",1963-12-31,0.895,1963
"Alberta",1964-12-31,0.895,1964
"Alberta",1965-12-31,0.725,1965
